analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.533,0.0,512.492,520.546,True,True,True,1.687,0.262,0,1.0,1.0,1.0,1.0,0.107,0.694,0.748,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.556,0.0,499.254,508.755,True,True,True,1.647,-0.375,0,1.0,1.043,1.226,1.013,0.111,0.426,0.582,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.281,0.189,,,,,,,,,,,,
CPER_yearly_False_window_1_lags_2_sinusoidal_no_spline,False,1,spline_lags_2_sinusoidal_no,0.508,0.001,489.361,498.693,True,True,True,1.694,-6.137,0,1.0,1.023,1.453,1.008,0.153,0.536,0.991,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.484,0.99,,,,,,,,,,
CPER_yearly_False_window_1_lags_3_sinusoidal_no_spline,False,1,spline_lags_3_sinusoidal_no,0.514,0.023,476.144,485.302,True,True,True,1.679,0.173,0,1.0,1.338,1.194,1.017,0.276,0.449,0.96,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.549,0.725,,,,,,,,
CPER_yearly_False_window_1_lags_4_sinusoidal_no_spline,False,1,spline_lags_4_sinusoidal_no,0.514,0.002,463.219,472.198,True,True,True,1.644,0.399,0,1.0,1.014,1.061,1.002,0.17,0.596,0.613,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.077,0.777,,,,,,
CPER_yearly_False_window_1_lags_5_sinusoidal_no_spline,False,1,spline_lags_5_sinusoidal_no,0.543,0.111,448.469,457.263,True,True,True,1.7,0.294,0,1.0,1.172,1.094,1.021,0.364,0.557,0.987,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.287,0.211,,,,
CPER_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.598,0.0,510.976,522.252,True,True,True,1.907,0.229,0,1.0,1.048,1.068,1.044,0.13,0.655,0.441,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,1.107,1.052,0.732,0.038
CPER_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.638,0.0,495.851,508.519,False,True,True,2.001,-2.583,0,1.0,1.077,1.313,1.088,0.178,0.439,0.286,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.297,0.207,,,,,,,,,1.117,1.063,0.925,0.017
CPER_yearly_False_window_1_lags_2_sinusoidal_yes_spline,False,1,spline_lags_2_sinusoidal_yes,0.586,0.002,487.309,499.752,False,True,True,1.996,-1.329,0,1.0,1.058,1.545,1.038,0.205,0.628,0.791,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.511,0.929,,,,,,,1.109,1.021,0.761,0.034
CPER_yearly_False_window_1_lags_3_sinusoidal_yes_spline,False,1,spline_lags_3_sinusoidal_yes,0.602,0.019,473.312,485.523,False,True,True,2.041,0.269,0,1.0,1.379,1.243,1.034,0.265,0.62,0.885,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.552,0.758,,,,,1.093,1.011,0.711,0.027
CPER_yearly_False_window_1_lags_4_sinusoidal_yes_spline,False,1,spline_lags_4_sinusoidal_yes,0.632,0.0,458.025,469.997,True,True,True,1.963,0.428,0,1.0,1.068,1.1,1.02,0.256,0.789,0.522,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.078,0.62,,,1.094,1.015,0.841,0.01
CPER_yearly_False_window_1_lags_5_sinusoidal_yes_spline,False,1,spline_lags_5_sinusoidal_yes,0.611,0.054,447.283,459.009,False,True,True,1.979,0.148,0,1.0,1.241,1.129,1.066,0.353,0.722,0.91,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.288,0.319,1.141,1.007,0.871,0.053
CPER_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.533,0.0,512.492,520.546,True,True,True,1.687,0.262,0,1.0,1.0,1.0,1.0,0.107,0.694,0.748,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,,,,
CPER_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.556,0.0,499.254,508.755,True,True,True,1.647,-0.375,0,1.0,1.043,1.226,1.013,0.111,0.426,0.582,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.281,0.189,,,,,,,,,,,,
CPER_yearly_True_window_1_lags_2_sinusoidal_no_spline,True,1,spline_lags_2_sinusoidal_no,0.508,0.001,489.361,498.693,True,True,True,1.694,-6.137,0,1.0,1.023,1.453,1.008,0.153,0.536,0.991,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.484,0.99,,,,,,,,,,
CPER_yearly_True_window_1_lags_3_sinusoidal_no_spline,True,1,spline_lags_3_sinusoidal_no,0.514,0.023,476.144,485.302,True,True,True,1.679,0.173,0,1.0,1.338,1.194,1.017,0.276,0.449,0.96,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.549,0.725,,,,,,,,
CPER_yearly_True_window_1_lags_4_sinusoidal_no_spline,True,1,spline_lags_4_sinusoidal_no,0.514,0.002,463.219,472.198,True,True,True,1.644,0.399,0,1.0,1.014,1.061,1.002,0.17,0.596,0.613,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.077,0.777,,,,,,
CPER_yearly_True_window_1_lags_5_sinusoidal_no_spline,True,1,spline_lags_5_sinusoidal_no,0.543,0.111,448.469,457.263,True,True,True,1.7,0.294,0,1.0,1.172,1.094,1.021,0.364,0.557,0.987,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.287,0.211,,,,
CPER_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.598,0.0,510.976,522.252,True,True,True,1.907,0.229,0,1.0,1.048,1.068,1.044,0.13,0.655,0.441,"[np.float64(170.3429997), np.float64(286.766), np.float64(326.4964), np.float64(376.7428), np.float64(501.904)]",,,,,,,,,,,1.107,1.052,0.732,0.038
CPER_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.638,0.0,495.851,508.519,False,True,True,2.001,-2.583,0,1.0,1.077,1.313,1.088,0.178,0.439,0.286,"[np.float64(170.3429997), np.float64(286.6935), np.float64(317.512), np.float64(372.922), np.float64(501.904)]",1.297,0.207,,,,,,,,,1.117,1.063,0.925,0.017
CPER_yearly_True_window_1_lags_2_sinusoidal_yes_spline,True,1,spline_lags_2_sinusoidal_yes,0.586,0.002,487.309,499.752,False,True,True,1.996,-1.329,0,1.0,1.058,1.545,1.038,0.205,0.628,0.791,"[np.float64(170.3429997), np.float64(286.621), np.float64(312.628), np.float64(351.3428), np.float64(501.904)]",,,1.511,0.929,,,,,,,1.109,1.021,0.761,0.034
CPER_yearly_True_window_1_lags_3_sinusoidal_yes_spline,True,1,spline_lags_3_sinusoidal_yes,0.602,0.019,473.312,485.523,False,True,True,2.041,0.269,0,1.0,1.379,1.243,1.034,0.265,0.62,0.885,"[np.float64(170.3429997), np.float64(286.5485), np.float64(308.5084), np.float64(341.926301), np.float64(501.904)]",,,,,1.552,0.758,,,,,1.093,1.011,0.711,0.027
CPER_yearly_True_window_1_lags_4_sinusoidal_yes_spline,True,1,spline_lags_4_sinusoidal_yes,0.632,0.0,458.025,469.997,True,True,True,1.963,0.428,0,1.0,1.068,1.1,1.02,0.256,0.789,0.522,"[np.float64(170.3429997), np.float64(286.766), np.float64(320.5068), np.float64(362.1324), np.float64(501.904)]",,,,,,,1.078,0.62,,,1.094,1.015,0.841,0.01
CPER_yearly_True_window_1_lags_5_sinusoidal_yes_spline,True,1,spline_lags_5_sinusoidal_yes,0.611,0.054,447.283,459.009,False,True,True,1.979,0.148,0,1.0,1.241,1.129,1.066,0.353,0.722,0.91,"[np.float64(170.3429997), np.float64(286.6935), np.float64(323.2404), np.float64(367.5272), np.float64(501.904)]",,,,,,,,,1.288,0.319,1.141,1.007,0.871,0.053
CPER_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.549,0.0,491.572,499.627,False,True,False,0.969,0.357,0,1.0,1.0,1.0,1.0,0.83,0.507,0.291,"[np.float64(207.39100000000002), np.float64(291.3966), np.float64(312.4708), np.float64(332.8744), np.float64(438.27700000000004)]",,,,,,,,,,,,,,
CPER_yearly_False_window_2_lags_1_sinusoidal_no_spline,False,2,spline_lags_1_sinusoidal_no,0.527,0.0,481.727,491.228,True,True,False,0.885,0.279,0,1.0,1.011,1.027,1.004,0.749,0.537,0.674,"[np.float64(207.39100000000002), np.float64(290.151), np.float64(316.0395), np.float64(337.06775), np.float64(438.27700000000004)]",1.043,0.402,,,,,,,,,,,,
CPER_yearly_False_window_2_lags_2_sinusoidal_no_spline,False,2,spline_lags_2_sinusoidal_no,0.477,0.002,471.195,480.528,False,True,False,0.89,0.088,0,1.0,1.022,1.19,1.109,0.775,0.668,0.744,"[np.float64(207.39100000000002), np.float64(296.3526), np.float64(316.9666), np.float64(337.317), np.float64(438.27700000000004)]",,,1.321,0.998,,,,,,,,,,
CPER_yearly_False_window_2_lags_3_sinusoidal_no_spline,False,2,spline_lags_3_sinusoidal_no,0.509,0.012,457.113,466.271,False,True,False,0.903,0.328,0,1.0,1.108,1.099,1.008,0.987,0.545,0.964,"[np.float64(207.39100000000002), np.float64(287.9298), np.float64(307.892), np.float64(331.7615), np.float64(438.27700000000004)]",,,,,1.214,0.421,,,,,,,,
CPER_yearly_False_window_2_lags_4_sinusoidal_no_spline,False,2,spline_lags_4_sinusoidal_no,0.504,0.014,444.788,453.767,False,True,False,1.006,-0.032,0,1.0,1.076,1.154,1.0,0.935,0.62,0.645,"[np.float64(207.39100000000002), np.float64(294.9774), np.float64(313.2836), np.float64(332.4), np.float64(438.27700000000004)]",,,,,,,1.23,0.351,,,,,,
CPER_yearly_False_window_2_lags_5_sinusoidal_no_spline,False,2,spline_lags_5_sinusoidal_no,0.54,0.084,429.998,438.792,False,True,False,1.072,0.339,0,1.0,1.126,1.435,1.036,0.795,0.983,0.734,"[np.float64(207.39100000000002), np.float64(293.6022), np.float64(311.5183), np.float64(331.6338), np.float64(438.27700000000004)]",,,,,,,,,1.597,0.1,,,,
CPER_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.634,0.0,487.869,499.145,True,True,False,1.119,0.357,0,1.0,1.032,1.108,1.018,0.953,0.684,0.431,"[np.float64(207.39100000000002), np.float64(291.3966), np.float64(312.4708), np.float64(332.8744), np.float64(438.27700000000004)]",,,,,,,,,,,1.131,1.027,0.945,0.013
CPER_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.657,0.0,474.228,486.896,True,True,False,1.139,0.408,0,1.0,1.054,1.16,1.018,0.888,0.738,0.932,"[np.float64(207.39100000000002), np.float64(290.151), np.float64(316.0395), np.float64(337.06775), np.float64(438.27700000000004)]",1.044,0.249,,,,,,,,,1.173,1.016,0.784,0.003
CPER_yearly_False_window_2_lags_2_sinusoidal_yes_spline,False,2,spline_lags_2_sinusoidal_yes,0.627,0.001,463.366,475.809,True,True,False,1.319,0.364,0,1.0,1.067,1.496,1.214,0.778,0.79,0.29,"[np.float64(207.39100000000002), np.float64(296.3526), np.float64(316.9666), np.float64(337.317), np.float64(438.27700000000004)]",,,1.393,0.886,,,,,,,1.29,1.094,0.819,0.003
CPER_yearly_False_window_2_lags_3_sinusoidal_yes_spline,False,2,spline_lags_3_sinusoidal_yes,0.652,0.002,449.438,461.649,False,True,False,1.303,-0.447,0,1.0,1.153,1.297,1.021,0.903,0.789,0.745,"[np.float64(207.39100000000002), np.float64(287.9298), np.float64(307.892), np.float64(331.7615), np.float64(438.27700000000004)]",,,,,1.219,0.708,,,,,1.206,1.047,0.867,0.003
CPER_yearly_False_window_2_lags_4_sinusoidal_yes_spline,False,2,spline_lags_4_sinusoidal_yes,0.655,0.001,436.791,448.763,False,True,False,1.229,0.429,0,1.0,1.172,1.253,1.018,0.794,0.884,0.819,"[np.float64(207.39100000000002), np.float64(294.9774), np.float64(313.2836), np.float64(332.4), np.float64(438.27700000000004)]",,,,,,,1.231,0.627,,,1.182,1.03,0.779,0.003
CPER_yearly_False_window_2_lags_5_sinusoidal_yes_spline,False,2,spline_lags_5_sinusoidal_yes,0.651,0.014,425.211,436.937,False,True,False,1.273,0.559,0,1.0,1.223,1.478,1.094,0.97,0.893,0.807,"[np.float64(207.39100000000002), np.float64(293.6022), np.float64(311.5183), np.float64(331.6338), np.float64(438.27700000000004)]",,,,,,,,,1.601,0.328,1.157,1.036,0.935,0.011
CPER_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.549,0.0,491.572,499.627,False,True,False,0.969,0.357,0,1.0,1.0,1.0,1.0,0.83,0.507,0.291,"[np.float64(207.39100000000002), np.float64(291.3966), np.float64(312.4708), np.float64(332.8744), np.float64(438.27700000000004)]",,,,,,,,,,,,,,
CPER_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.527,0.0,481.727,491.228,True,True,False,0.885,0.279,0,1.0,1.011,1.027,1.004,0.749,0.537,0.674,"[np.float64(207.39100000000002), np.float64(290.151), np.float64(316.0395), np.float64(337.06775), np.float64(438.27700000000004)]",1.043,0.402,,,,,,,,,,,,
CPER_yearly_True_window_2_lags_2_sinusoidal_no_spline,True,2,spline_lags_2_sinusoidal_no,0.477,0.002,471.195,480.528,False,True,False,0.89,0.088,0,1.0,1.022,1.19,1.109,0.775,0.668,0.744,"[np.float64(207.39100000000002), np.float64(296.3526), np.float64(316.9666), np.float64(337.317), np.float64(438.27700000000004)]",,,1.321,0.998,,,,,,,,,,
CPER_yearly_True_window_2_lags_3_sinusoidal_no_spline,True,2,spline_lags_3_sinusoidal_no,0.509,0.012,457.113,466.271,False,True,False,0.903,0.328,0,1.0,1.108,1.099,1.008,0.987,0.545,0.964,"[np.float64(207.39100000000002), np.float64(287.9298), np.float64(307.892), np.float64(331.7615), np.float64(438.27700000000004)]",,,,,1.214,0.421,,,,,,,,
CPER_yearly_True_window_2_lags_4_sinusoidal_no_spline,True,2,spline_lags_4_sinusoidal_no,0.504,0.014,444.788,453.767,False,True,False,1.006,-0.032,0,1.0,1.076,1.154,1.0,0.935,0.62,0.645,"[np.float64(207.39100000000002), np.float64(294.9774), np.float64(313.2836), np.float64(332.4), np.float64(438.27700000000004)]",,,,,,,1.23,0.351,,,,,,
CPER_yearly_True_window_2_lags_5_sinusoidal_no_spline,True,2,spline_lags_5_sinusoidal_no,0.54,0.084,429.998,438.792,False,True,False,1.072,0.339,0,1.0,1.126,1.435,1.036,0.795,0.983,0.734,"[np.float64(207.39100000000002), np.float64(293.6022), np.float64(311.5183), np.float64(331.6338), np.float64(438.27700000000004)]",,,,,,,,,1.597,0.1,,,,
CPER_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.634,0.0,487.869,499.145,True,True,False,1.119,0.357,0,1.0,1.032,1.108,1.018,0.953,0.684,0.431,"[np.float64(207.39100000000002), np.float64(291.3966), np.float64(312.4708), np.float64(332.8744), np.float64(438.27700000000004)]",,,,,,,,,,,1.131,1.027,0.945,0.013
CPER_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.657,0.0,474.228,486.896,True,True,False,1.139,0.408,0,1.0,1.054,1.16,1.018,0.888,0.738,0.932,"[np.float64(207.39100000000002), np.float64(290.151), np.float64(316.0395), np.float64(337.06775), np.float64(438.27700000000004)]",1.044,0.249,,,,,,,,,1.173,1.016,0.784,0.003
CPER_yearly_True_window_2_lags_2_sinusoidal_yes_spline,True,2,spline_lags_2_sinusoidal_yes,0.627,0.001,463.366,475.809,True,True,False,1.319,0.364,0,1.0,1.067,1.496,1.214,0.778,0.79,0.29,"[np.float64(207.39100000000002), np.float64(296.3526), np.float64(316.9666), np.float64(337.317), np.float64(438.27700000000004)]",,,1.393,0.886,,,,,,,1.29,1.094,0.819,0.003
CPER_yearly_True_window_2_lags_3_sinusoidal_yes_spline,True,2,spline_lags_3_sinusoidal_yes,0.652,0.002,449.438,461.649,False,True,False,1.303,-0.447,0,1.0,1.153,1.297,1.021,0.903,0.789,0.745,"[np.float64(207.39100000000002), np.float64(287.9298), np.float64(307.892), np.float64(331.7615), np.float64(438.27700000000004)]",,,,,1.219,0.708,,,,,1.206,1.047,0.867,0.003
CPER_yearly_True_window_2_lags_4_sinusoidal_yes_spline,True,2,spline_lags_4_sinusoidal_yes,0.655,0.001,436.791,448.763,False,True,False,1.229,0.429,0,1.0,1.172,1.253,1.018,0.794,0.884,0.819,"[np.float64(207.39100000000002), np.float64(294.9774), np.float64(313.2836), np.float64(332.4), np.float64(438.27700000000004)]",,,,,,,1.231,0.627,,,1.182,1.03,0.779,0.003
CPER_yearly_True_window_2_lags_5_sinusoidal_yes_spline,True,2,spline_lags_5_sinusoidal_yes,0.651,0.014,425.211,436.937,False,True,False,1.273,0.559,0,1.0,1.223,1.478,1.094,0.97,0.893,0.807,"[np.float64(207.39100000000002), np.float64(293.6022), np.float64(311.5183), np.float64(331.6338), np.float64(438.27700000000004)]",,,,,,,,,1.601,0.328,1.157,1.036,0.935,0.011
CPER_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.552,0.0,479.553,487.608,True,True,False,0.586,-0.185,0,1.0,1.0,1.0,1.0,0.45,0.556,0.598,"[np.float64(222.30433323333332), np.float64(300.559733), np.float64(316.8552), np.float64(355.409334), np.float64(430.78399999999993)]",,,,,,,,,,,,,,
CPER_yearly_False_window_3_lags_1_sinusoidal_no_spline,False,3,spline_lags_1_sinusoidal_no,0.521,0.0,469.872,479.373,True,True,False,0.554,0.408,0,1.0,1.068,1.004,1.049,0.408,0.677,0.801,"[np.float64(222.30433323333332), np.float64(298.530667), np.float64(314.920667), np.float64(343.955), np.float64(430.78399999999993)]",1.121,0.602,,,,,,,,,,,,
CPER_yearly_False_window_3_lags_2_sinusoidal_no_spline,False,3,spline_lags_2_sinusoidal_no,0.499,0.001,458.41,467.743,True,True,False,0.564,-0.043,0,1.0,1.09,1.126,1.058,0.562,0.675,0.934,"[np.float64(222.30433323333332), np.float64(288.4932), np.float64(310.472667), np.float64(332.457067), np.float64(430.78399999999993)]",,,1.274,0.93,,,,,,,,,,
CPER_yearly_False_window_3_lags_3_sinusoidal_no_spline,False,3,spline_lags_3_sinusoidal_no,0.524,0.01,445.306,454.464,True,True,False,0.578,0.248,0,1.0,1.132,1.093,1.011,0.765,0.596,0.888,"[np.float64(222.30433323333332), np.float64(292.4175), np.float64(319.944133), np.float64(335.9568), np.float64(430.78399999999993)]",,,,,1.236,0.414,,,,,,,,
CPER_yearly_False_window_3_lags_4_sinusoidal_no_spline,False,3,spline_lags_4_sinusoidal_no,0.539,0.031,431.974,440.953,True,True,False,0.673,0.141,0,1.0,1.157,1.087,1.013,0.803,0.616,0.952,"[np.float64(222.30433323333332), np.float64(292.227), np.float64(312.0644), np.float64(339.456533), np.float64(430.78399999999993)]",,,,,,,1.257,0.152,,,,,,
CPER_yearly_False_window_3_lags_5_sinusoidal_no_spline,False,3,spline_lags_5_sinusoidal_no,0.618,0.397,414.124,422.919,True,True,False,0.743,0.452,0,1.0,1.386,1.253,1.011,0.462,0.821,0.682,"[np.float64(222.30433323333332), np.float64(292.025917), np.float64(310.1086), np.float64(326.152933), np.float64(430.78399999999993)]",,,,,,,,,1.65,0.011,,,,
CPER_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.686,0.0,470.413,481.69,True,True,False,0.775,0.321,0,1.0,1.038,1.195,1.002,0.848,0.287,0.615,"[np.float64(222.30433323333332), np.float64(300.559733), np.float64(316.8552), np.float64(355.409334), np.float64(430.78399999999993)]",,,,,,,,,,,1.196,1.039,0.53,0.001
CPER_yearly_False_window_3_lags_1_sinusoidal_yes_spline,False,3,spline_lags_1_sinusoidal_yes,0.707,0.0,456.135,468.803,True,True,False,0.98,0.599,0,1.0,1.091,1.283,1.062,0.621,0.784,0.572,"[np.float64(222.30433323333332), np.float64(298.530667), np.float64(314.920667), np.float64(343.955), np.float64(430.78399999999993)]",1.124,0.501,,,,,,,,,1.29,1.022,0.614,0.0
CPER_yearly_False_window_3_lags_2_sinusoidal_yes_spline,False,3,spline_lags_2_sinusoidal_yes,0.723,0.0,441.717,454.16,True,True,False,1.004,0.473,0,1.0,1.112,1.437,1.061,0.907,0.848,0.97,"[np.float64(222.30433323333332), np.float64(288.4932), np.float64(310.472667), np.float64(332.457067), np.float64(430.78399999999993)]",,,1.298,0.918,,,,,,,1.293,1.019,0.718,0.0
CPER_yearly_False_window_3_lags_3_sinusoidal_yes_spline,False,3,spline_lags_3_sinusoidal_yes,0.733,0.001,429.595,441.805,False,True,False,0.97,0.653,0,1.0,1.166,1.408,1.037,0.903,0.867,0.91,"[np.float64(222.30433323333332), np.float64(292.4175), np.float64(319.944133), np.float64(335.9568), np.float64(430.78399999999993)]",,,,,1.251,0.511,,,,,1.35,1.01,0.917,0.0
CPER_yearly_False_window_3_lags_4_sinusoidal_yes_spline,False,3,spline_lags_4_sinusoidal_yes,0.729,0.002,418.423,430.395,False,True,False,0.92,0.552,0,1.0,1.183,1.273,1.045,0.979,0.82,0.818,"[np.float64(222.30433323333332), np.float64(292.227), np.float64(312.0644), np.float64(339.456533), np.float64(430.78399999999993)]",,,,,,,1.263,0.249,,,1.233,1.005,0.799,0.0
