analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_no_piecewise,False,1,piecewise_lags_none_sinusoidal_no,0.116,0.035,1031.23,1037.141,False,True,True,2.28,-0.001,0,2.7,2.7,0.357,518.4534626262626,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_no_piecewise,False,1,piecewise_lags_1_sinusoidal_no,0.26,0.355,1004.719,1012.524,False,True,True,2.154,0.159,0,1.141,1.169,0.234,633.4604,1.028,0.004,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_no_piecewise,False,1,piecewise_lags_2_sinusoidal_no,0.131,0.037,993.933,1001.66,False,True,True,2.186,0.038,0,3.333,3.596,0.313,518.7688080808081,,,1.263,0.452,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_no_piecewise,False,1,piecewise_lags_3_sinusoidal_no,0.122,0.077,975.579,983.227,False,True,True,2.115,-0.073,0,1.106,1.113,0.389,635.152,,,,,1.007,0.748,,,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_no_piecewise,False,1,piecewise_lags_4_sinusoidal_no,0.179,0.455,953.328,960.895,False,True,True,1.995,-0.066,0,3.593,3.952,0.411,518.2562828282828,,,,,,,1.359,0.093,,,,,,
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_no_piecewise,False,1,piecewise_lags_7_sinusoidal_no,0.169,0.182,896.129,903.443,False,True,True,2.216,-0.127,0,3.83,4.444,0.216,520.151111111111,,,,,,,,,1.614,0.201,,,,
Croplands_cluster_0_yearly_False_window_1_lags_none_sinusoidal_yes_piecewise,False,1,piecewise_lags_none_sinusoidal_yes,0.137,0.03,1033.965,1043.816,False,True,True,2.303,-0.134,0,3.071,3.289,0.491,518.4534626262626,,,,,,,,,,,1.009,1.209,0.868,0.289
Croplands_cluster_0_yearly_False_window_1_lags_1_sinusoidal_yes_piecewise,False,1,piecewise_lags_1_sinusoidal_yes,0.273,0.529,1007.845,1019.552,False,True,True,2.134,0.005,0,1.142,1.181,0.255,633.4604,1.029,0.01,,,,,,,,,1.01,1.0,0.597,0.488
Croplands_cluster_0_yearly_False_window_1_lags_2_sinusoidal_yes_piecewise,False,1,piecewise_lags_2_sinusoidal_yes,0.153,0.033,996.624,1008.215,False,True,True,2.179,-0.123,0,3.535,3.907,0.403,518.7688080808081,,,1.285,0.353,,,,,,,1.005,1.081,0.84,0.291
Croplands_cluster_0_yearly_False_window_1_lags_3_sinusoidal_yes_piecewise,False,1,piecewise_lags_3_sinusoidal_yes,0.15,0.051,977.944,989.416,False,True,True,2.146,-0.12,0,1.11,1.152,0.423,635.152,,,,,1.007,0.639,,,,,1.034,1.001,0.776,0.248
Croplands_cluster_0_yearly_False_window_1_lags_4_sinusoidal_yes_piecewise,False,1,piecewise_lags_4_sinusoidal_yes,0.199,0.436,956.122,967.473,False,True,True,2.038,-0.064,0,3.971,4.527,0.523,518.2562828282828,,,,,,,1.411,0.156,,,1.031,1.115,0.796,0.336
Croplands_cluster_0_yearly_False_window_1_lags_7_sinusoidal_yes_piecewise,False,1,piecewise_lags_7_sinusoidal_yes,0.179,0.158,899.541,910.513,False,True,True,2.214,-0.264,0,4.312,5.201,0.31,520.151111111111,,,,,,,,,1.718,0.345,1.006,1.164,0.963,0.478
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_no_piecewise,True,1,piecewise_lags_none_sinusoidal_no,0.104,0.148,504.807,508.804,True,True,True,2.094,-0.015,0,7.528,7.528,0.281,423.98238888888886,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_no_piecewise,True,1,piecewise_lags_1_sinusoidal_no,0.102,0.257,489.709,494.893,True,True,True,2.102,-0.26,0,14.205,15.144,0.364,424.7598545454545,1.939,0.932,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_no_piecewise,True,1,piecewise_lags_2_sinusoidal_no,0.148,0.517,471.193,476.225,True,True,True,2.058,-0.172,0,10.678,11.119,0.491,423.2746666666667,,,1.441,0.272,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_no_piecewise,True,1,piecewise_lags_3_sinusoidal_no,0.099,0.661,453.64,458.516,True,True,True,1.856,-0.391,0,1.179,1.19,0.328,628.2628000000001,,,,,1.011,0.943,,,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_no_piecewise,True,1,piecewise_lags_4_sinusoidal_no,0.142,0.142,435.584,440.296,True,True,True,2.252,-1.517,0,12.457,13.099,0.248,423.9594757575757,,,,,,,1.641,0.904,,,,,,
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_no_piecewise,True,1,piecewise_lags_7_sinusoidal_no,0.155,0.163,382.862,387.04,True,True,True,2.234,-0.445,0,13.586,14.653,0.317,423.4841616161616,,,,,,,,,2.067,0.763,,,,
Croplands_cluster_0_yearly_True_window_1_lags_none_sinusoidal_yes_piecewise,True,1,piecewise_lags_none_sinusoidal_yes,0.138,0.183,507.749,514.41,True,True,True,1.996,-0.082,0,9.784,10.13,0.282,423.98238888888886,,,,,,,,,,,1.008,1.338,0.465,0.595
Croplands_cluster_0_yearly_True_window_1_lags_1_sinusoidal_yes_piecewise,True,1,piecewise_lags_1_sinusoidal_yes,0.149,0.413,492.234,500.009,True,True,True,2.022,-0.259,0,15.519,16.651,0.379,424.7598545454545,2.032,0.65,,,,,,,,,1.09,1.01,0.343,0.602
Croplands_cluster_0_yearly_True_window_1_lags_2_sinusoidal_yes_piecewise,True,1,piecewise_lags_2_sinusoidal_yes,0.156,0.487,474.933,482.481,True,True,True,2.028,-1.194,0,12.298,12.981,0.479,423.2746666666667,,,1.515,0.37,,,,,,,1.14,1.027,0.769,0.752
Croplands_cluster_0_yearly_True_window_1_lags_3_sinusoidal_yes_piecewise,True,1,piecewise_lags_3_sinusoidal_yes,0.129,0.964,456.819,464.132,True,True,True,1.756,-0.793,0,1.187,1.24,0.349,628.2628000000001,,,,,1.011,0.709,,,,,1.004,1.038,0.56,0.575
Croplands_cluster_0_yearly_True_window_1_lags_4_sinusoidal_yes_piecewise,True,1,piecewise_lags_4_sinusoidal_yes,0.177,0.163,438.593,445.662,True,True,True,2.12,-7.365,0,12.709,13.386,0.258,423.9594757575757,,,,,,,1.655,0.956,,,1.001,1.021,0.578,0.518
Croplands_cluster_0_yearly_True_window_1_lags_7_sinusoidal_yes_piecewise,True,1,piecewise_lags_7_sinusoidal_yes,0.174,0.187,386.398,392.665,True,True,True,2.214,-3.945,0,13.753,14.847,0.33,423.4841616161616,,,,,,,,,2.081,0.805,1.002,1.012,0.883,0.585
Croplands_cluster_0_yearly_False_window_2_lags_none_sinusoidal_no_piecewise,False,2,piecewise_lags_none_sinusoidal_no,0.111,0.041,987.984,993.895,False,True,False,1.219,0.011,0,2.876,2.876,0.105,471.6314625959596,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_1_sinusoidal_no_piecewise,False,2,piecewise_lags_1_sinusoidal_no,0.236,0.341,964.357,972.162,False,True,False,1.004,0.078,0,3.825,4.281,0.314,471.4430040252525,1.456,0.005,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_2_sinusoidal_no_piecewise,False,2,piecewise_lags_2_sinusoidal_no,0.118,0.146,953.688,961.415,False,True,False,1.266,-0.036,0,4.623,5.386,0.207,471.25454545454545,,,1.763,0.637,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_3_sinusoidal_no_piecewise,False,2,piecewise_lags_3_sinusoidal_no,0.099,0.1,937.226,944.874,False,True,False,1.22,-0.119,0,3.924,4.405,0.207,472.21800909090905,,,,,1.481,0.958,,,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_4_sinusoidal_no_piecewise,False,2,piecewise_lags_4_sinusoidal_no,0.139,0.117,920.775,928.342,False,True,False,1.091,-0.033,0,5.98,7.532,0.167,471.4972909090909,,,,,,,2.552,0.277,,,,,,
Croplands_cluster_0_yearly_False_window_2_lags_7_sinusoidal_no_piecewise,False,2,piecewise_lags_7_sinusoidal_no,0.237,0.133,856.921,864.235,False,True,False,1.257,0.065,0,5.767,7.064,0.05,471.1130454545454,,,,,,,,,2.297,0.008,,,,
Croplands_cluster_0_yearly_False_window_2_lags_none_sinusoidal_yes_piecewise,False,2,piecewise_lags_none_sinusoidal_yes,0.135,0.052,990.528,1000.38,False,True,False,1.301,-0.041,0,3.165,3.32,0.147,471.6314625959596,,,,,,,,,,,1.0,1.154,0.34,0.522
Croplands_cluster_0_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.255,0.387,967.01,978.717,False,True,False,1.074,-0.003,0,3.975,4.508,0.392,471.4430040252525,1.48,0.008,,,,,,,,,1.003,1.05,0.396,0.488
Croplands_cluster_0_yearly_False_window_2_lags_2_sinusoidal_yes_piecewise,False,2,piecewise_lags_2_sinusoidal_yes,0.145,0.161,956.085,967.676,False,True,False,1.363,-0.04,0,4.779,5.618,0.243,471.25454545454545,,,1.796,0.678,,,,,,,1.001,1.042,0.261,0.704
Croplands_cluster_0_yearly_False_window_2_lags_3_sinusoidal_yes_piecewise,False,2,piecewise_lags_3_sinusoidal_yes,0.117,0.118,940.21,951.682,False,True,False,1.307,-0.224,0,4.044,4.586,0.247,472.21800909090905,,,,,1.501,0.986,,,,,1.001,1.04,0.431,0.607
Croplands_cluster_0_yearly_False_window_2_lags_4_sinusoidal_yes_piecewise,False,2,piecewise_lags_4_sinusoidal_yes,0.165,0.137,923.238,934.589,False,True,False,1.115,-0.026,0,6.697,8.616,0.165,471.4972909090909,,,,,,,2.775,0.226,,,1.067,1.077,0.262,0.842
Croplands_cluster_0_yearly_False_window_2_lags_7_sinusoidal_yes_piecewise,False,2,piecewise_lags_7_sinusoidal_yes,0.25,0.137,860.093,871.065,False,True,False,1.286,-0.125,0,6.303,7.858,0.06,471.1130454545454,,,,,,,,,2.443,0.013,1.002,1.111,0.409,0.856
Croplands_cluster_0_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.328,0.002,477.583,481.579,True,True,True,1.514,-0.022,0,2.525,2.525,0.002,500.7007954277778,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.345,0.015,462.249,467.433,True,True,False,1.442,-0.051,0,1.98,2.15,0.004,538.2166148363636,1.169,0.627,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_2_lags_2_sinusoidal_no_piecewise,True,2,piecewise_lags_2_sinusoidal_no,0.281,0.114,450.285,455.318,True,True,False,1.241,-0.02,0,3.824,4.452,0.044,500.97182779040406,,,1.629,0.374,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_2_lags_3_sinusoidal_no_piecewise,True,2,piecewise_lags_3_sinusoidal_no,0.233,0.479,430.292,435.168,True,True,True,1.625,-0.198,0,1.368,1.566,0.033,567.0669656080809,,,,,1.198,0.401,,,,,,,,
Croplands_cluster_0_yearly_True_window_2_lags_4_sinusoidal_no_piecewise,True,2,piecewise_lags_4_sinusoidal_no,0.486,0.063,405.256,409.968,True,True,True,1.98,0.292,0,2.702,3.237,0.002,534.6370328282828,,,,,,,1.535,0.127,,,,,,
Croplands_cluster_0_yearly_True_window_2_lags_7_sinusoidal_no_piecewise,True,2,piecewise_lags_7_sinusoidal_no,0.557,0.0,354.11,358.288,True,True,False,1.316,0.264,0,6.308,8.576,0.002,501.65366666666665,,,,,,,,,3.268,0.11,,,,
Croplands_cluster_0_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.366,0.002,479.989,486.65,True,True,True,1.546,-0.081,0,2.91,3.163,0.002,500.7007954277778,,,,,,,,,,,1.209,1.044,0.301,0.707
Croplands_cluster_0_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.367,0.032,465.301,473.076,True,False,False,1.422,-0.078,0,2.05,2.302,0.006,538.2166148363636,1.181,0.526,,,,,,,,,1.063,1.008,0.532,0.541
Croplands_cluster_0_yearly_True_window_2_lags_2_sinusoidal_yes_piecewise,True,2,piecewise_lags_2_sinusoidal_yes,0.304,0.101,453.448,460.996,True,True,False,1.296,-0.03,0,3.999,4.728,0.039,500.97182779040406,,,1.668,0.42,,,,,,,1.035,1.027,0.434,0.903
Croplands_cluster_0_yearly_True_window_2_lags_3_sinusoidal_yes_piecewise,True,2,piecewise_lags_3_sinusoidal_yes,0.246,0.682,433.878,441.191,True,True,True,1.62,-2.043,0,1.373,1.588,0.044,567.0669656080809,,,,,1.2,0.367,,,,,1.009,1.005,0.591,0.942
Croplands_cluster_0_yearly_True_window_2_lags_4_sinusoidal_yes_piecewise,True,2,piecewise_lags_4_sinusoidal_yes,0.493,0.079,408.931,415.999,True,True,True,1.976,0.187,0,2.705,3.243,0.003,534.6370328282828,,,,,,,1.536,0.141,,,1.002,1.0,0.741,0.72
Croplands_cluster_0_yearly_True_window_2_lags_7_sinusoidal_yes_piecewise,True,2,piecewise_lags_7_sinusoidal_yes,0.574,0.001,357.294,363.561,True,True,False,1.247,0.16,0,6.385,8.701,0.004,501.65366666666665,,,,,,,,,3.301,0.133,1.01,1.004,0.614,0.578
Croplands_cluster_0_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.11,0.954,969.093,975.003,False,True,False,1.321,-0.074,0,4.478,4.478,0.437,485.6988,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.204,0.09,944.922,952.727,False,True,False,1.364,0.078,0,2.156,2.2,0.929,540.0349040404041,1.044,0.012,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_3_lags_2_sinusoidal_no_piecewise,False,3,piecewise_lags_2_sinusoidal_no,0.254,0.025,923.608,931.336,False,False,False,1.427,-0.094,0,2.221,2.354,0.771,542.3169090909091,,,1.133,0.003,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_3_lags_3_sinusoidal_no_piecewise,False,3,piecewise_lags_3_sinusoidal_no,0.139,0.203,911.735,919.383,False,True,False,1.178,-0.089,0,2.797,3.237,0.607,539.9165252525253,,,,,1.44,0.113,,,,,,,,
Croplands_cluster_0_yearly_False_window_3_lags_4_sinusoidal_no_piecewise,False,3,piecewise_lags_4_sinusoidal_no,0.079,0.529,897.104,904.671,False,True,False,0.993,0.03,0,2.942,3.52,0.574,539.9165252525253,,,,,,,1.578,0.629,,,,,,
Croplands_cluster_0_yearly_False_window_3_lags_7_sinusoidal_no_piecewise,False,3,piecewise_lags_7_sinusoidal_no,0.112,0.476,842.941,850.256,False,True,False,1.019,-0.377,0,3.98,4.77,0.519,519.5132626262626,,,,,,,,,1.791,0.329,,,,
Croplands_cluster_0_yearly_False_window_3_lags_none_sinusoidal_yes_piecewise,False,3,piecewise_lags_none_sinusoidal_yes,0.132,0.906,971.734,981.585,False,True,False,1.343,-0.107,0,5.409,5.677,0.45,485.6988,,,,,,,,,,,1.002,1.266,0.301,0.719
Croplands_cluster_0_yearly_False_window_3_lags_1_sinusoidal_yes_piecewise,False,3,piecewise_lags_1_sinusoidal_yes,0.218,0.131,948.009,959.716,False,True,False,1.332,-0.036,0,2.337,2.544,0.958,540.0349040404041,1.051,0.017,,,,,,,,,1.006,1.151,0.372,0.97
Croplands_cluster_0_yearly_False_window_3_lags_2_sinusoidal_yes_piecewise,False,3,piecewise_lags_2_sinusoidal_yes,0.26,0.052,927.199,938.79,False,False,False,1.42,-0.185,0,2.329,2.562,0.863,542.3169090909091,,,1.145,0.007,,,,,,,1.001,1.088,0.606,0.758
Croplands_cluster_0_yearly_False_window_3_lags_3_sinusoidal_yes_piecewise,False,3,piecewise_lags_3_sinusoidal_yes,0.166,0.293,914.13,925.602,False,True,False,1.186,-0.075,0,2.968,3.544,0.501,539.9165252525253,,,,,1.482,0.143,,,,,1.015,1.079,0.255,0.769
Croplands_cluster_0_yearly_False_window_3_lags_4_sinusoidal_yes_piecewise,False,3,piecewise_lags_4_sinusoidal_yes,0.09,0.581,900.509,911.86,False,True,False,1.003,-0.047,0,3.119,3.841,0.533,539.9165252525253,,,,,,,1.631,0.638,,,1.039,1.052,0.509,0.8
Croplands_cluster_0_yearly_False_window_3_lags_7_sinusoidal_yes_piecewise,False,3,piecewise_lags_7_sinusoidal_yes,0.123,0.576,846.33,857.302,False,True,False,1.031,-0.792,0,4.762,6.022,0.488,519.5132626262626,,,,,,,,,1.998,0.405,1.003,1.259,0.473,0.926
Croplands_cluster_0_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.295,0.207,465.403,469.4,True,True,False,1.041,-0.323,0,1.28,1.28,0.004,587.3538424242424,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_3_lags_1_sinusoidal_no_piecewise,True,3,piecewise_lags_1_sinusoidal_no,0.325,0.384,450.502,455.685,True,True,False,1.115,0.096,0,1.292,1.299,0.008,587.3101333333333,1.006,0.604,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_3_lags_2_sinusoidal_no_piecewise,True,3,piecewise_lags_2_sinusoidal_no,0.285,0.778,433.721,438.754,True,True,False,1.115,-0.404,0,1.305,1.378,0.029,589.3928888888889,,,1.072,0.37,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_3_lags_3_sinusoidal_no_piecewise,True,3,piecewise_lags_3_sinusoidal_no,0.339,0.932,413.481,418.356,True,True,False,1.193,-0.923,0,1.339,1.445,0.012,588.2203838383839,,,,,1.106,0.285,,,,,,,,
Croplands_cluster_0_yearly_True_window_3_lags_4_sinusoidal_no_piecewise,True,3,piecewise_lags_4_sinusoidal_no,0.333,0.821,398.431,403.143,True,True,False,1.212,0.07,0,1.358,1.465,0.012,587.1790060606061,,,,,,,1.107,0.349,,,,,,
Croplands_cluster_0_yearly_True_window_3_lags_7_sinusoidal_no_piecewise,True,3,piecewise_lags_7_sinusoidal_no,0.265,0.357,355.95,360.128,True,True,False,1.015,-0.313,0,1.607,2.16,0.037,587.0478787878787,,,,,,,,,1.553,0.89,,,,
Croplands_cluster_0_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.308,0.202,468.899,475.56,True,True,False,1.026,-0.909,0,1.284,1.296,0.005,587.3538424242424,,,,,,,,,,,1.003,1.01,0.525,0.992
Croplands_cluster_0_yearly_True_window_3_lags_1_sinusoidal_yes_piecewise,True,3,piecewise_lags_1_sinusoidal_yes,0.343,0.347,453.759,461.534,True,True,False,1.102,-0.319,0,1.295,1.311,0.009,587.3101333333333,1.006,0.669,,,,,,,,,1.003,1.006,0.499,0.732
Croplands_cluster_0_yearly_True_window_3_lags_2_sinusoidal_yes_piecewise,True,3,piecewise_lags_2_sinusoidal_yes,0.287,0.749,437.675,445.224,True,True,False,1.129,-0.579,0,1.309,1.392,0.051,589.3928888888889,,,1.073,0.385,,,,,,,1.001,1.009,0.937,0.863
Croplands_cluster_0_yearly_True_window_3_lags_3_sinusoidal_yes_piecewise,True,3,piecewise_lags_3_sinusoidal_yes,0.372,0.956,416.209,423.522,True,True,False,1.124,-1.111,0,1.347,1.48,0.014,588.2203838383839,,,,,1.108,0.246,,,,,1.017,1.007,0.333,0.948
Croplands_cluster_0_yearly_True_window_3_lags_4_sinusoidal_yes_piecewise,True,3,piecewise_lags_4_sinusoidal_yes,0.354,0.858,401.683,408.751,True,True,False,1.182,0.063,0,1.374,1.528,0.014,587.1790060606061,,,,,,,1.111,0.351,,,1.006,1.038,0.532,0.691
Croplands_cluster_0_yearly_True_window_3_lags_7_sinusoidal_yes_piecewise,True,3,piecewise_lags_7_sinusoidal_yes,0.289,0.348,359.244,365.511,True,True,False,1.018,-1.328,0,1.671,2.389,0.046,587.0478787878787,,,,,,,,,1.612,0.902,1.011,1.095,0.49,0.897
Croplands_cluster_0_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.111,0.061,937.365,943.276,False,True,False,1.329,0.075,0,3.895,3.895,0.038,475.7,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_4_lags_1_sinusoidal_no_piecewise,False,4,piecewise_lags_1_sinusoidal_no,0.32,0.526,905.283,913.088,False,True,False,1.046,0.186,0,5.495,5.879,0.218,475.7,1.384,0.0,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_4_lags_2_sinusoidal_no_piecewise,False,4,piecewise_lags_2_sinusoidal_no,0.135,0.156,904.414,912.141,True,False,True,1.504,-0.12,0,6.384,7.026,0.074,475.7,,,1.642,0.085,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_4_lags_3_sinusoidal_no_piecewise,False,4,piecewise_lags_3_sinusoidal_no,0.094,0.086,888.307,895.955,False,True,False,1.383,-7.698,0,6.582,7.281,0.056,475.32985,,,,,1.699,0.477,,,,,,,,
Croplands_cluster_0_yearly_False_window_4_lags_4_sinusoidal_no_piecewise,False,4,piecewise_lags_4_sinusoidal_no,0.178,0.093,864.87,872.438,True,True,False,1.056,0.042,0,9.926,11.696,0.028,474.9597,,,,,,,2.77,0.019,,,,,,
Croplands_cluster_0_yearly_False_window_4_lags_7_sinusoidal_no_piecewise,False,4,piecewise_lags_7_sinusoidal_no,0.156,0.051,814.752,822.066,False,True,False,1.123,-0.018,0,10.234,12.031,0.02,473.84925,,,,,,,,,2.796,0.11,,,,
