analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.575,0.97,360.296,366.563,True,True,False,1.017,-0.113,0,2.21,2.797,0.705,1.003,0.049,,,,,1.528,1.056,0.027,0.107
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_quadratic,True,5,quadratic_lags_2_sinusoidal_yes,0.754,0.193,333.605,339.58,True,True,False,1.26,-0.165,0,2.068,2.54,0.739,,,1.02,0.001,,,1.357,1.095,0.001,0.012
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_yes_quadratic,True,5,quadratic_lags_6_sinusoidal_yes,0.943,0.007,251.696,256.332,True,True,True,1.893,0.747,0,2.191,2.677,0.453,,,,,1.066,0.526,1.037,1.384,0.0,0.318
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.009,0.61,989.424,995.391,True,True,False,0.393,-0.033,0,1.741,1.741,0.546,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.02,0.683,972.602,980.483,True,True,False,0.451,-0.189,0,1.8,1.834,0.563,1.034,0.424,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_no_quadratic,False,6,quadratic_lags_2_sinusoidal_no,0.008,0.972,958.808,966.613,True,True,False,0.392,-0.16,0,1.862,1.916,0.757,,,1.054,0.572,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_no_quadratic,False,6,quadratic_lags_6_sinusoidal_no,0.017,0.538,908.807,916.292,False,True,False,0.368,-0.191,0,1.863,1.877,0.749,,,,,1.014,0.475,,,,
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.225,0.118,980.105,990.05,True,True,False,0.627,0.032,0,1.908,2.133,0.032,,,,,,,1.183,1.042,0.001,0.713
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.228,0.153,963.953,975.775,True,True,False,0.668,-0.031,0,1.991,2.271,0.034,1.042,0.312,,,,,1.19,1.048,0.001,0.945
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_yes_quadratic,False,6,quadratic_lags_2_sinusoidal_yes,0.235,0.297,949.297,961.004,True,True,False,0.633,-0.168,0,2.089,2.421,0.045,,,1.068,0.491,,,1.228,1.036,0.001,0.83
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_yes_quadratic,False,6,quadratic_lags_6_sinusoidal_yes,0.225,0.349,901.365,912.593,True,False,False,0.543,-0.24,0,2.178,2.561,0.062,,,,,1.019,0.247,1.351,1.014,0.002,0.879
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_quadratic,True,6,quadratic_lags_none_sinusoidal_no,0.138,0.592,378.641,381.914,True,True,False,0.744,-0.919,0,1.943,1.943,0.125,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_quadratic,True,6,quadratic_lags_1_sinusoidal_no,0.25,0.507,361.632,365.81,True,True,False,0.913,-1.626,0,1.75,1.774,0.099,1.024,0.128,,,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_no_quadratic,True,6,quadratic_lags_2_sinusoidal_no,0.279,0.401,345.17,349.153,True,True,False,0.912,-1.385,0,1.683,1.693,0.283,,,1.01,0.091,,,,,,
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_no_quadratic,True,6,quadratic_lags_6_sinusoidal_no,0.429,0.025,283.198,286.288,True,True,False,0.534,-0.109,0,2.233,2.303,0.727,,,,,1.069,0.786,,,,
Croplands_cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_quadratic,True,6,quadratic_lags_none_sinusoidal_yes,0.395,0.604,374.839,380.294,True,True,False,0.658,-0.529,0,2.369,2.82,0.953,,,,,,,1.386,1.065,0.021,0.169
Croplands_cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_quadratic,True,6,quadratic_lags_1_sinusoidal_yes,0.622,0.191,351.233,357.5,True,True,False,1.239,-0.209,0,2.089,2.576,0.786,1.035,0.043,,,,,1.433,1.018,0.008,0.01
Croplands_cluster_1_yearly_True_window_6_lags_2_sinusoidal_yes_quadratic,True,6,quadratic_lags_2_sinusoidal_yes,0.811,0.011,322.42,328.394,True,True,True,1.642,0.183,0,1.876,2.171,0.217,,,1.013,0.0,,,1.279,1.004,0.0,0.0
Croplands_cluster_1_yearly_True_window_6_lags_6_sinusoidal_yes_quadratic,True,6,quadratic_lags_6_sinusoidal_yes,0.967,0.121,241.489,246.125,True,True,True,1.968,0.856,0,2.284,2.396,0.05,,,,,1.072,0.192,1.005,1.035,0.0,0.125
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_quadratic,False,7,quadratic_lags_none_sinusoidal_no,0.002,0.997,980.569,986.536,True,True,False,0.361,-0.185,0,1.881,1.881,0.804,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_no_quadratic,False,7,quadratic_lags_1_sinusoidal_no,0.009,0.921,963.603,971.484,True,True,False,0.432,-0.192,0,1.985,2.052,0.756,1.067,0.629,,,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_no_quadratic,False,7,quadratic_lags_2_sinusoidal_no,0.034,0.627,947.393,955.198,True,True,False,0.396,-0.222,0,1.982,2.002,0.669,,,1.019,0.225,,,,,,
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_no_quadratic,False,7,quadratic_lags_6_sinusoidal_no,0.028,0.427,912.277,919.762,False,True,False,0.462,-0.415,0,2.103,2.112,0.624,,,,,1.009,0.291,,,,
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_yes_quadratic,False,7,quadratic_lags_none_sinusoidal_yes,0.238,0.151,969.95,979.894,True,True,False,0.617,-0.067,0,2.12,2.392,0.083,,,,,,,1.259,1.012,0.0,0.266
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_yes_quadratic,False,7,quadratic_lags_1_sinusoidal_yes,0.226,0.227,954.517,966.339,True,True,False,0.628,-0.035,0,2.237,2.577,0.132,1.084,0.523,,,,,1.243,1.012,0.001,0.386
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_yes_quadratic,False,7,quadratic_lags_2_sinusoidal_yes,0.266,0.303,937.156,948.863,True,True,False,0.665,-0.428,0,2.265,2.577,0.096,,,1.025,0.255,,,1.278,1.01,0.0,0.482
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_yes_quadratic,False,7,quadratic_lags_6_sinusoidal_yes,0.184,0.537,907.859,919.087,True,False,False,0.618,-0.481,0,2.71,3.273,0.226,,,,,1.014,0.273,1.55,1.0,0.007,0.739
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_no_quadratic,True,7,quadratic_lags_none_sinusoidal_no,0.137,0.667,371.152,374.425,True,True,False,0.679,-0.271,0,1.671,1.671,0.121,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_no_quadratic,True,7,quadratic_lags_1_sinusoidal_no,0.24,0.435,353.456,357.634,True,True,False,0.645,-0.487,0,1.533,1.544,0.11,1.01,0.178,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_no_quadratic,True,7,quadratic_lags_2_sinusoidal_no,0.376,0.042,335.539,339.522,True,True,False,0.716,-0.435,0,1.762,1.797,0.173,,,1.036,0.079,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_no_quadratic,True,7,quadratic_lags_6_sinusoidal_no,0.77,0.0,262.668,265.758,True,True,False,1.192,0.571,0,2.009,2.193,0.011,,,,,1.184,0.173,,,,
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_yes_quadratic,True,7,quadratic_lags_none_sinusoidal_yes,0.521,0.567,362.205,367.66,True,True,False,1.112,0.101,0,1.823,2.049,0.763,,,,,,,1.203,1.023,0.002,0.324
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_yes_quadratic,True,7,quadratic_lags_1_sinusoidal_yes,0.746,0.177,334.439,340.706,True,True,False,1.273,0.322,0,1.652,1.886,0.922,1.012,0.022,,,,,1.221,1.001,0.0,0.008
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_yes_quadratic,True,7,quadratic_lags_2_sinusoidal_yes,0.784,0.608,318.315,324.29,True,False,True,1.765,0.297,0,1.822,1.94,0.159,,,1.038,0.002,,,1.015,1.065,0.0,0.01
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_yes_quadratic,True,7,quadratic_lags_6_sinusoidal_yes,0.974,0.006,231.821,236.457,True,True,True,2.328,0.838,0,2.417,3.08,0.014,,,,,1.259,0.003,1.285,1.12,0.0,0.408
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_quadratic,False,8,quadratic_lags_none_sinusoidal_no,0.005,0.822,972.539,978.506,True,True,False,0.34,-0.396,0,1.655,1.655,0.736,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_no_quadratic,False,8,quadratic_lags_1_sinusoidal_no,0.062,0.928,952.63,960.511,True,True,False,0.431,-0.145,0,1.697,1.715,0.718,1.018,0.107,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_no_quadratic,False,8,quadratic_lags_2_sinusoidal_no,0.038,0.807,939.647,947.452,True,True,False,0.359,-0.326,0,1.749,1.803,0.711,,,1.054,0.224,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_no_quadratic,False,8,quadratic_lags_6_sinusoidal_no,0.092,0.485,893.915,901.4,False,True,False,0.389,-1.948,0,1.805,1.82,0.117,,,,,1.015,0.24,,,,
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_yes_quadratic,False,8,quadratic_lags_none_sinusoidal_yes,0.22,0.16,963.416,973.361,True,True,False,0.589,-0.2,0,1.749,1.893,0.25,,,,,,,1.136,1.007,0.001,0.31
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_yes_quadratic,False,8,quadratic_lags_1_sinusoidal_yes,0.236,0.27,945.756,957.578,True,True,False,0.638,-0.002,0,1.784,1.93,0.348,1.02,0.078,,,,,1.12,1.005,0.002,0.521
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_yes_quadratic,False,8,quadratic_lags_2_sinusoidal_yes,0.261,0.359,929.969,941.677,True,True,False,0.645,-0.628,0,1.866,2.084,0.231,,,1.063,0.187,,,1.15,1.006,0.001,0.559
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_yes_quadratic,False,8,quadratic_lags_6_sinusoidal_yes,0.233,0.486,889.864,901.091,True,False,False,0.518,-2.645,0,2.024,2.314,0.796,,,,,1.019,0.185,1.271,1.001,0.01,0.566
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_quadratic,True,8,quadratic_lags_none_sinusoidal_no,0.15,0.84,363.984,367.257,True,True,False,0.781,0.054,0,1.531,1.531,0.1,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_no_quadratic,True,8,quadratic_lags_1_sinusoidal_no,0.216,0.543,347.162,351.34,True,True,False,0.647,-0.826,0,1.446,1.447,0.118,1.0,0.327,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_no_quadratic,True,8,quadratic_lags_2_sinusoidal_no,0.293,0.081,331.996,335.979,True,True,False,0.556,0.063,0,1.483,1.592,0.337,,,1.109,0.168,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_no_quadratic,True,8,quadratic_lags_6_sinusoidal_no,0.757,0.0,262.003,265.093,True,True,False,1.041,0.573,0,1.732,2.023,0.034,,,,,1.291,0.779,,,,
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_quadratic,True,8,quadratic_lags_none_sinusoidal_yes,0.517,0.29,355.539,360.994,True,True,False,1.411,0.401,0,1.626,1.803,0.418,,,,,,,1.155,1.023,0.004,0.1
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.811,0.027,321.287,327.554,True,True,False,1.404,0.454,0,1.518,1.681,0.624,1.0,0.011,,,,,1.153,1.009,0.0,0.0
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_yes_quadratic,True,8,quadratic_lags_2_sinusoidal_yes,0.797,0.178,311.062,317.036,True,True,True,1.791,0.67,0,1.524,1.726,0.321,,,1.118,0.002,,,1.004,1.08,0.0,0.001
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_yes_quadratic,True,8,quadratic_lags_6_sinusoidal_yes,0.986,0.004,220.557,225.193,True,True,True,1.77,0.95,0,2.006,2.781,0.054,,,,,1.4,0.011,1.197,1.178,0.0,0.002
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.025,0.802,965.043,971.01,True,True,False,0.33,-0.185,0,1.638,1.638,0.289,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.041,0.786,947.122,955.003,True,True,False,0.435,-0.409,0,1.703,1.774,0.264,1.071,0.599,,,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_no_quadratic,False,9,quadratic_lags_2_sinusoidal_no,0.073,0.611,929.189,936.994,True,True,False,0.415,-0.237,0,1.746,1.835,0.33,,,1.09,0.159,,,,,,
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_no_quadratic,False,9,quadratic_lags_6_sinusoidal_no,0.119,0.322,891.829,899.314,False,True,False,0.691,-0.636,0,1.916,2.01,0.113,,,,,1.094,0.132,,,,
Croplands_cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_quadratic,False,9,quadratic_lags_none_sinusoidal_yes,0.306,0.077,950.68,960.624,True,False,False,0.567,0.11,0,1.736,1.89,0.221,,,,,,,1.151,1.002,0.0,0.092
Croplands_cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_quadratic,False,9,quadratic_lags_1_sinusoidal_yes,0.298,0.112,934.601,946.423,True,True,False,0.608,-0.12,0,1.808,2.04,0.331,1.082,0.538,,,,,1.146,1.003,0.0,0.185
Croplands_cluster_1_yearly_False_window_9_lags_2_sinusoidal_yes_quadratic,False,9,quadratic_lags_2_sinusoidal_yes,0.366,0.139,913.392,925.099,True,True,False,0.62,-0.132,0,1.865,2.129,0.176,,,1.104,0.101,,,1.159,1.001,0.0,0.266
Croplands_cluster_1_yearly_False_window_9_lags_6_sinusoidal_yes_quadratic,False,9,quadratic_lags_6_sinusoidal_yes,0.284,0.651,885.907,897.135,False,True,False,0.845,-0.461,0,2.35,2.962,0.715,,,,,1.138,0.121,1.458,1.016,0.005,0.219
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_quadratic,True,9,quadratic_lags_none_sinusoidal_no,0.256,0.624,351.157,354.43,True,True,False,0.718,-0.098,0,1.522,1.522,0.024,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.229,0.495,339.19,343.368,True,False,False,0.487,-0.3,0,1.705,1.871,0.275,1.166,0.468,,,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_no_quadratic,True,9,quadratic_lags_2_sinusoidal_no,0.386,0.019,315.769,319.752,True,True,False,0.786,-0.672,0,1.528,1.678,0.718,,,1.15,0.332,,,,,,
Croplands_cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.795,0.035,326.834,332.29,True,True,True,1.919,0.619,0,1.543,1.583,0.004,,,,,,,1.039,1.001,0.0,0.026
Croplands_cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_quadratic,True,9,quadratic_lags_1_sinusoidal_yes,0.797,0.13,315.221,321.488,True,True,True,1.724,0.526,0,1.883,2.343,0.183,1.208,0.131,,,,,1.032,1.22,0.0,0.024
Croplands_cluster_1_yearly_True_window_9_lags_2_sinusoidal_yes_quadratic,True,9,quadratic_lags_2_sinusoidal_yes,0.825,0.65,294.69,300.664,True,True,True,1.905,0.58,0,1.577,1.833,0.748,,,1.164,0.019,,,1.0,1.092,0.0,0.008
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.024,0.894,959.13,965.097,True,False,False,0.219,-0.116,0,1.601,1.601,0.371,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_quadratic,False,10,quadratic_lags_1_sinusoidal_no,0.057,0.907,939.88,947.762,True,False,False,0.29,-0.932,0,1.624,1.638,0.317,1.014,0.308,,,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_no_quadratic,False,10,quadratic_lags_2_sinusoidal_no,0.064,0.984,924.296,932.101,True,False,False,0.27,-0.672,0,1.707,1.81,0.484,,,1.103,0.202,,,,,,
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_no_quadratic,False,10,quadratic_lags_6_sinusoidal_no,0.163,0.491,872.954,880.439,False,True,False,0.624,-1.223,0,1.846,1.916,0.047,,,,,1.071,0.176,,,,
Croplands_cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.312,0.06,944.286,954.23,True,False,False,0.436,0.136,0,1.655,1.744,0.395,,,,,,,1.082,1.007,0.0,0.158
Croplands_cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_quadratic,False,10,quadratic_lags_1_sinusoidal_yes,0.324,0.086,926.181,938.003,True,False,False,0.514,-0.374,0,1.677,1.779,0.524,1.015,0.288,,,,,1.082,1.004,0.0,0.276
Croplands_cluster_1_yearly_False_window_10_lags_2_sinusoidal_yes_quadratic,False,10,quadratic_lags_2_sinusoidal_yes,0.392,0.094,905.909,917.617,True,False,False,0.488,-0.382,0,1.778,1.992,0.241,,,1.114,0.128,,,1.098,1.002,0.0,0.378
Croplands_cluster_1_yearly_False_window_10_lags_6_sinusoidal_yes_quadratic,False,10,quadratic_lags_6_sinusoidal_yes,0.421,0.646,859.276,870.503,False,True,False,0.943,-0.651,0,2.064,2.411,0.844,,,,,1.089,0.104,1.252,1.006,0.0,0.116
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_no_quadratic,True,10,quadratic_lags_none_sinusoidal_no,0.271,0.479,344.538,347.812,True,True,False,0.999,-0.043,0,1.699,1.699,0.017,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_no_quadratic,True,10,quadratic_lags_1_sinusoidal_no,0.242,0.438,333.25,337.429,True,False,False,0.617,-0.793,0,2.292,2.425,0.164,1.133,0.532,,,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_no_quadratic,True,10,quadratic_lags_2_sinusoidal_no,0.377,0.014,309.83,313.813,True,False,False,0.995,-0.211,0,1.926,2.003,0.843,,,1.077,0.341,,,,,,
Croplands_cluster_1_yearly_True_window_10_lags_none_sinusoidal_yes_quadratic,True,10,quadratic_lags_none_sinusoidal_yes,0.763,0.035,323.784,329.239,True,True,True,2.341,0.573,0,1.708,1.721,0.003,,,,,,,1.011,1.002,0.0,0.005
Croplands_cluster_1_yearly_True_window_10_lags_1_sinusoidal_yes_quadratic,True,10,quadratic_lags_1_sinusoidal_yes,0.763,0.087,312.796,319.063,True,True,True,1.932,-0.373,0,2.633,3.066,0.082,1.169,0.421,,,,,1.002,1.262,0.0,0.015
Croplands_cluster_1_yearly_True_window_10_lags_2_sinusoidal_yes_quadratic,True,10,quadratic_lags_2_sinusoidal_yes,0.799,0.51,291.257,297.232,True,False,False,2.514,0.523,0,2.007,2.177,0.488,,,1.084,0.072,,,1.018,1.068,0.0,0.002
