analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.012,0.361,1396.557,1401.025,False,True,False,2.602,-0.047,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.025,0.877,1378.393,1385.051,False,True,False,2.595,-0.078,0,1.0,1.0,0.36,,,,,,
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_no_linear,False,1,linear_lags_5_sinusoidal_no,0.052,0.083,1296.785,1303.262,False,False,False,2.521,-0.035,0,1.0,,,1.0,0.121,,,,
Croplands_cluster_2_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.019,0.398,1400.106,1409.043,False,True,False,2.632,-0.167,0,1.0,,,,,1.0,1.0,0.528,0.879
Croplands_cluster_2_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.032,0.913,1381.95,1393.048,False,True,False,2.624,-0.184,0,1.0,1.0,0.353,,,1.0,1.0,0.531,0.9
Croplands_cluster_2_yearly_False_window_1_lags_5_sinusoidal_yes_linear,False,1,linear_lags_5_sinusoidal_yes,0.061,0.091,1300.191,1310.985,False,False,False,2.551,-0.082,0,1.0,,,1.0,0.128,1.0,1.0,0.464,0.929
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.002,0.841,568.741,571.476,True,False,True,1.525,-0.675,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.002,0.959,551.139,555.136,True,True,True,1.538,-0.088,0,1.0,1.0,0.919,,,,,,
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_no_linear,True,1,linear_lags_5_sinusoidal_no,0.008,0.678,476.418,479.952,True,True,True,1.631,-0.081,0,1.0,,,1.0,0.731,,,,
Croplands_cluster_2_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.002,0.841,572.724,578.194,True,True,True,1.53,-1.133,0,1.0,,,,,1.0,1.0,0.974,0.909
Croplands_cluster_2_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.003,0.969,555.108,561.769,True,True,True,1.531,-0.186,0,1.0,1.0,0.916,,,1.0,1.0,0.996,0.874
Croplands_cluster_2_yearly_True_window_1_lags_5_sinusoidal_yes_linear,True,1,linear_lags_5_sinusoidal_yes,0.009,0.69,480.391,486.281,True,True,True,1.627,-0.554,0,1.0,,,1.0,0.74,1.0,1.0,0.892,0.964
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.002,0.746,1309.76,1314.228,True,True,False,1.325,-0.035,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.002,0.729,1296.973,1303.632,True,True,False,1.297,-0.09,0,1.0,1.0,0.906,,,,,,
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_no_linear,False,2,linear_lags_5_sinusoidal_no,0.018,0.665,1222.276,1228.752,True,True,False,1.239,-0.025,0,1.0,,,1.0,0.318,,,,
Croplands_cluster_2_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.012,0.705,1313.003,1321.939,True,True,False,1.377,-0.064,0,1.0,,,,,1.0,1.0,0.419,0.811
Croplands_cluster_2_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.013,0.696,1300.212,1311.31,True,True,False,1.348,-0.185,0,1.0,1.0,0.889,,,1.0,1.0,0.438,0.753
Croplands_cluster_2_yearly_False_window_2_lags_5_sinusoidal_yes_linear,False,2,linear_lags_5_sinusoidal_yes,0.031,0.66,1225.42,1236.215,True,True,False,1.293,-0.101,0,1.0,,,1.0,0.319,1.0,1.0,0.39,0.833
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.001,0.85,554.367,557.102,False,True,False,0.561,-1.006,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.011,0.925,536.148,540.144,True,True,False,0.574,-0.37,0,1.0,1.0,0.617,,,,,,
Croplands_cluster_2_yearly_True_window_2_lags_5_sinusoidal_no_linear,True,2,linear_lags_5_sinusoidal_no,0.168,0.069,459.521,463.055,True,True,False,0.912,0.127,0,1.0,,,1.0,0.055,,,,
Croplands_cluster_2_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.014,0.831,557.992,563.461,False,True,False,0.561,-1.541,0,1.0,,,,,1.0,1.0,0.974,0.574
Croplands_cluster_2_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.012,0.938,540.119,546.78,True,True,False,0.573,-0.55,0,1.0,1.0,0.636,,,1.0,1.0,0.931,0.902
Croplands_cluster_2_yearly_True_window_2_lags_5_sinusoidal_yes_linear,True,2,linear_lags_5_sinusoidal_yes,0.177,0.076,463.26,469.151,True,True,False,0.925,-0.185,0,1.0,,,1.0,0.062,1.0,1.0,0.689,0.839
Croplands_cluster_2_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.001,0.802,1287.179,1291.647,True,True,False,0.882,-0.022,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.062,0.674,1264.331,1270.989,True,True,False,0.871,0.027,0,1.0,1.0,0.045,,,,,,
Croplands_cluster_2_yearly_False_window_3_lags_5_sinusoidal_no_linear,False,3,linear_lags_5_sinusoidal_no,0.008,0.507,1196.266,1202.742,False,True,False,0.819,-0.108,0,1.0,,,1.0,0.546,,,,
Croplands_cluster_2_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.038,0.911,1288.568,1297.505,True,True,False,0.939,-0.054,0,1.0,,,,,1.0,1.0,0.137,0.622
Croplands_cluster_2_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.094,0.601,1265.957,1277.054,True,True,False,0.921,-0.084,0,1.0,1.0,0.041,,,1.0,1.0,0.144,0.819
Croplands_cluster_2_yearly_False_window_3_lags_5_sinusoidal_yes_linear,False,3,linear_lags_5_sinusoidal_yes,0.045,0.537,1197.811,1208.606,True,True,False,0.875,-0.123,0,1.0,,,1.0,0.566,1.0,1.0,0.139,0.814
Croplands_cluster_2_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.004,0.737,540.021,542.755,False,True,False,0.622,-0.167,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.015,0.622,523.326,527.322,False,True,False,0.673,-0.782,0,1.0,1.0,0.596,,,,,,
Croplands_cluster_2_yearly_True_window_3_lags_5_sinusoidal_no_linear,True,3,linear_lags_5_sinusoidal_no,0.263,0.021,452.036,455.57,True,True,False,0.399,0.172,0,1.0,,,1.0,0.013,,,,
Croplands_cluster_2_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.025,0.762,543.396,548.865,False,True,False,0.634,-0.664,0,1.0,,,,,1.0,1.0,0.918,0.472
Croplands_cluster_2_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.023,0.662,527.102,533.763,False,True,False,0.674,-0.829,0,1.0,1.0,0.62,,,1.0,1.0,0.985,0.672
Croplands_cluster_2_yearly_True_window_3_lags_5_sinusoidal_yes_linear,True,3,linear_lags_5_sinusoidal_yes,0.27,0.026,455.784,461.674,True,True,False,0.423,-0.082,0,1.0,,,1.0,0.016,1.0,1.0,0.695,0.837
Croplands_cluster_2_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.001,0.836,1274.553,1279.021,True,True,False,0.672,-0.003,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.042,0.559,1252.848,1259.506,True,True,False,0.656,-0.01,0,1.0,1.0,0.097,,,,,,
Croplands_cluster_2_yearly_False_window_4_lags_5_sinusoidal_no_linear,False,4,linear_lags_5_sinusoidal_no,0.001,0.926,1186.512,1192.989,True,True,False,0.651,-0.032,0,1.0,,,1.0,0.838,,,,
Croplands_cluster_2_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.068,0.707,1273.77,1282.707,True,True,False,0.687,0.016,0,1.0,,,,,1.0,1.0,0.038,0.67
Croplands_cluster_2_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.103,0.485,1252.402,1263.5,True,True,False,0.675,-0.069,0,1.0,1.0,0.086,,,1.0,1.0,0.043,0.997
Croplands_cluster_2_yearly_False_window_4_lags_5_sinusoidal_yes_linear,False,4,linear_lags_5_sinusoidal_yes,0.068,0.932,1186.084,1196.878,True,True,False,0.666,-0.023,0,1.0,,,1.0,0.841,1.0,1.0,0.044,0.964
Croplands_cluster_2_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.0,0.921,536.929,539.664,False,True,False,0.354,-0.081,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.001,0.888,520.642,524.639,True,True,False,0.36,-0.513,0,1.0,1.0,0.876,,,,,,
Croplands_cluster_2_yearly_True_window_4_lags_5_sinusoidal_no_linear,True,4,linear_lags_5_sinusoidal_no,0.189,0.057,452.743,456.277,True,True,False,0.546,-0.244,0,1.0,,,1.0,0.039,,,,
Croplands_cluster_2_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.012,0.961,540.583,546.052,False,True,False,0.356,-0.782,0,1.0,,,,,1.0,1.0,0.95,0.591
Croplands_cluster_2_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.005,0.92,524.526,531.188,True,True,False,0.362,-0.502,0,1.0,1.0,0.891,,,1.0,1.0,0.983,0.761
Croplands_cluster_2_yearly_True_window_4_lags_5_sinusoidal_yes_linear,True,4,linear_lags_5_sinusoidal_yes,0.198,0.063,456.479,462.369,True,True,False,0.579,-0.405,0,1.0,,,1.0,0.045,1.0,1.0,0.774,0.725
Croplands_cluster_2_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.005,0.549,1264.497,1268.966,True,True,False,0.508,-0.055,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.016,0.447,1248.177,1254.835,True,True,False,0.532,-0.017,0,1.0,1.0,0.385,,,,,,
Croplands_cluster_2_yearly_False_window_5_lags_5_sinusoidal_no_linear,False,5,linear_lags_5_sinusoidal_no,0.006,0.905,1180.699,1187.176,True,True,False,0.478,-0.091,0,1.0,,,1.0,0.718,,,,
Croplands_cluster_2_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.073,0.408,1263.605,1272.542,True,False,False,0.533,-0.012,0,1.0,,,,,1.0,1.0,0.033,0.853
Croplands_cluster_2_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.079,0.36,1247.688,1258.786,True,False,False,0.553,0.01,0,1.0,1.0,0.358,,,1.0,1.0,0.045,0.759
Croplands_cluster_2_yearly_False_window_5_lags_5_sinusoidal_yes_linear,False,5,linear_lags_5_sinusoidal_yes,0.076,0.806,1180.074,1190.869,True,False,False,0.502,-0.055,0,1.0,,,1.0,0.779,1.0,1.0,0.045,0.632
Croplands_cluster_2_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.004,0.752,521.892,524.627,False,True,False,0.232,-0.123,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.027,0.893,505.667,509.664,True,True,False,0.245,-0.317,0,1.0,1.0,0.462,,,,,,
Croplands_cluster_2_yearly_True_window_5_lags_5_sinusoidal_no_linear,True,5,linear_lags_5_sinusoidal_no,0.232,0.03,448.892,452.426,False,True,False,0.289,0.186,0,1.0,,,1.0,0.02,,,,
Croplands_cluster_2_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.028,0.792,525.185,530.654,False,True,False,0.245,-0.911,0,1.0,,,,,1.0,1.0,0.945,0.441
Croplands_cluster_2_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.049,0.95,509.02,515.681,True,True,False,0.255,-0.437,0,1.0,1.0,0.465,,,1.0,1.0,0.911,0.476
