analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_no_linear,False,1,linear_lags_none_sinusoidal_no,0.057,0.23,526.254,528.845,True,True,True,1.856,-0.165,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_no_linear,False,1,linear_lags_1_sinusoidal_no,0.071,0.638,505.679,509.453,True,True,True,2.065,-0.567,0,1.0,1.0,0.695,,,,
Maize-Cluster_1_yearly_False_window_1_lags_none_sinusoidal_yes_linear,False,1,linear_lags_none_sinusoidal_yes,0.06,0.299,530.18,535.364,True,True,True,1.863,-0.237,0,1.0,,,1.0,1.0,0.805,0.981
Maize-Cluster_1_yearly_False_window_1_lags_1_sinusoidal_yes_linear,False,1,linear_lags_1_sinusoidal_yes,0.076,0.613,509.543,515.834,True,True,True,2.085,-1.551,0,1.0,1.0,0.806,1.0,1.0,0.873,0.783
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_no_linear,True,1,linear_lags_none_sinusoidal_no,0.076,0.252,362.938,364.826,True,True,False,1.287,-0.463,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_no_linear,True,1,linear_lags_1_sinusoidal_no,0.098,0.514,340.253,342.924,True,True,False,1.373,-0.077,0,1.0,1.0,0.711,,,,
Maize-Cluster_1_yearly_True_window_1_lags_none_sinusoidal_yes_linear,True,1,linear_lags_none_sinusoidal_yes,0.112,0.317,366.193,369.97,True,True,False,1.317,-1.373,0,1.0,,,1.0,1.0,0.458,0.909
Maize-Cluster_1_yearly_True_window_1_lags_1_sinusoidal_yes_linear,True,1,linear_lags_1_sinusoidal_yes,0.18,0.292,342.541,346.993,True,True,True,1.602,0.048,0,1.0,1.0,0.952,1.0,1.0,0.5,0.366
Maize-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.034,0.357,506.517,509.108,True,True,False,0.725,-0.089,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_2_lags_1_sinusoidal_no_linear,False,2,linear_lags_1_sinusoidal_no,0.059,0.615,479.118,482.892,False,True,False,0.941,-0.079,0,1.0,1.0,0.519,,,,
Maize-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.094,0.512,508.792,513.976,True,True,False,0.744,-0.041,0,1.0,,,1.0,1.0,0.231,0.973
Maize-Cluster_1_yearly_False_window_2_lags_1_sinusoidal_yes_linear,False,2,linear_lags_1_sinusoidal_yes,0.168,0.375,479.927,486.218,True,True,False,1.099,-0.797,0,1.0,1.0,0.734,1.0,1.0,0.189,0.367
Maize-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.084,0.23,357.227,359.116,True,True,False,0.532,-0.437,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_2_lags_1_sinusoidal_no_linear,True,2,linear_lags_1_sinusoidal_no,0.083,0.394,329.836,332.507,True,True,False,0.736,-0.325,0,1.0,1.0,0.862,,,,
Maize-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.187,0.259,358.954,362.732,False,True,False,0.576,-0.468,0,1.0,,,1.0,1.0,0.188,0.925
Maize-Cluster_1_yearly_True_window_2_lags_1_sinusoidal_yes_linear,True,2,linear_lags_1_sinusoidal_yes,0.415,0.042,325.76,330.211,True,True,False,1.232,-0.401,0,1.0,1.0,0.492,1.0,1.0,0.057,0.067
Maize-Cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.047,0.276,496.57,499.161,True,True,False,0.635,-0.143,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_3_lags_1_sinusoidal_no_linear,False,3,linear_lags_1_sinusoidal_no,0.04,0.427,475.704,479.478,True,True,False,0.748,-0.091,0,1.0,1.0,0.848,,,,
Maize-Cluster_1_yearly_False_window_3_lags_none_sinusoidal_yes_linear,False,3,linear_lags_none_sinusoidal_yes,0.072,0.396,499.852,505.036,True,True,False,0.636,-0.165,0,1.0,,,1.0,1.0,0.539,0.742
Maize-Cluster_1_yearly_False_window_3_lags_1_sinusoidal_yes_linear,False,3,linear_lags_1_sinusoidal_yes,0.1,0.306,478.009,484.3,True,True,False,0.782,-0.231,0,1.0,1.0,0.978,1.0,1.0,0.549,0.376
Maize-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_no_linear,True,3,linear_lags_none_sinusoidal_no,0.145,0.107,345.977,347.866,True,True,False,0.432,-0.274,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_3_lags_1_sinusoidal_no_linear,True,3,linear_lags_1_sinusoidal_no,0.105,0.276,324.728,327.399,True,True,False,0.502,-0.215,0,1.0,1.0,0.802,,,,
Maize-Cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_linear,True,3,linear_lags_none_sinusoidal_yes,0.267,0.079,347.063,350.84,True,True,False,0.519,-0.198,0,1.0,,,1.0,1.0,0.365,0.28
Maize-Cluster_1_yearly_True_window_3_lags_1_sinusoidal_yes_linear,True,3,linear_lags_1_sinusoidal_yes,0.455,0.017,319.809,324.261,False,True,False,0.948,-0.344,0,1.0,1.0,0.6,1.0,1.0,0.18,0.026
Maize-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_linear,False,4,linear_lags_none_sinusoidal_no,0.103,0.103,488.286,490.878,True,True,False,0.471,-0.298,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_4_lags_1_sinusoidal_no_linear,False,4,linear_lags_1_sinusoidal_no,0.102,0.127,463.869,467.644,True,True,False,0.553,0.028,0,1.0,1.0,0.731,,,,
Maize-Cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.169,0.141,490.203,495.386,True,True,False,0.56,-0.425,0,1.0,,,1.0,1.0,0.299,0.51
Maize-Cluster_1_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.306,0.031,461.161,467.451,True,True,False,0.835,0.105,0,1.0,1.0,0.379,1.0,1.0,0.133,0.091
Maize-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.211,0.048,343.461,345.35,True,True,False,0.339,0.124,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.165,0.196,319.901,322.572,True,True,False,0.418,-0.518,0,1.0,1.0,0.612,,,,
Maize-Cluster_1_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.376,0.029,343.002,346.779,False,True,False,0.533,0.102,0,1.0,,,1.0,1.0,0.17,0.216
Maize-Cluster_1_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.609,0.003,310.253,314.705,False,True,False,0.948,0.234,0,1.0,1.0,0.68,1.0,1.0,0.018,0.011
Maize-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.184,0.026,480.771,483.363,True,True,False,0.367,0.008,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.212,0.055,456.645,460.419,True,True,False,0.496,-0.251,0,1.0,1.0,0.559,,,,
Maize-Cluster_1_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.266,0.02,481.888,487.072,True,True,False,0.494,-0.046,0,1.0,,,1.0,1.0,0.955,0.148
Maize-Cluster_1_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.435,0.003,451.99,458.28,True,True,False,0.877,-0.079,0,1.0,1.0,0.734,1.0,1.0,0.886,0.013
Maize-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.239,0.034,337.855,339.744,True,True,False,0.198,0.105,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.315,0.128,311.976,314.647,True,False,False,0.587,0.096,0,1.0,1.0,0.105,,,,
Maize-Cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.445,0.009,335.845,339.623,False,True,False,0.301,0.227,0,1.0,,,1.0,1.0,0.77,0.052
Maize-Cluster_1_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.783,0.0,295.314,299.765,True,True,False,1.207,0.3,0,1.0,1.0,0.127,1.0,1.0,0.841,0.0
Maize-Cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.222,0.013,476.902,479.493,True,True,False,0.403,0.116,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.262,0.015,450.187,453.961,True,True,False,0.58,-0.133,0,1.0,1.0,0.992,,,,
Maize-Cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.352,0.007,475.951,481.134,True,True,False,0.626,0.086,0,1.0,,,1.0,1.0,0.62,0.077
Maize-Cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.629,0.0,436.347,442.637,True,True,False,1.101,0.064,0,1.0,1.0,0.141,1.0,1.0,0.171,0.001
Maize-Cluster_1_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.299,0.015,335.906,337.795,True,True,False,0.206,0.088,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.444,0.046,305.98,308.651,True,True,False,0.495,0.128,0,1.0,1.0,0.043,,,,
Maize-Cluster_1_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.439,0.01,335.699,339.477,True,True,False,0.327,0.08,0,1.0,,,1.0,1.0,0.532,0.123
Maize-Cluster_1_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.711,0.001,298.218,302.67,True,True,False,0.937,0.173,0,1.0,1.0,0.047,1.0,1.0,0.331,0.007
Maize-Cluster_1_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.297,0.003,467.955,470.547,True,True,False,0.22,0.173,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.346,0.005,440.531,444.306,True,True,False,0.363,0.192,0,1.0,1.0,0.789,,,,
Maize-Cluster_1_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.474,0.0,464.098,469.282,False,True,False,0.491,0.25,0,1.0,,,1.0,1.0,0.434,0.011
Maize-Cluster_1_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.772,0.0,417.082,423.373,True,True,False,1.051,0.59,0,1.0,1.0,0.034,1.0,1.0,0.335,0.0
Maize-Cluster_1_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.274,0.021,331.808,333.696,True,True,False,0.231,-0.1,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.253,0.083,305.599,308.27,True,True,False,0.369,-0.206,0,1.0,1.0,0.316,,,,
Maize-Cluster_1_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.354,0.026,333.598,337.375,True,False,False,0.397,-0.164,0,1.0,,,1.0,1.0,0.75,0.247
Maize-Cluster_1_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.504,0.024,302.225,306.677,True,True,False,0.586,-0.305,0,1.0,1.0,0.326,1.0,1.0,0.374,0.053
Maize-Cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.299,0.003,467.484,470.075,True,True,False,0.344,0.211,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.369,0.004,437.476,441.25,True,True,False,0.551,0.238,0,1.0,1.0,0.746,,,,
Maize-Cluster_1_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.465,0.001,464.186,469.37,False,True,False,0.587,0.223,0,1.0,,,1.0,1.0,0.682,0.017
Maize-Cluster_1_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.737,0.0,418.787,425.078,True,True,False,1.398,0.608,0,1.0,1.0,0.053,1.0,1.0,0.909,0.0
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.377,0.005,329.09,330.978,True,True,False,0.276,0.131,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.339,0.016,301.932,304.603,True,True,False,0.319,0.088,0,1.0,1.0,0.927,,,,
Maize-Cluster_1_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.438,0.008,331.145,334.923,True,True,False,0.42,0.029,0,1.0,,,1.0,1.0,0.885,0.248
Maize-Cluster_1_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.605,0.002,296.691,301.143,True,True,False,0.907,0.152,0,1.0,1.0,0.555,1.0,1.0,0.283,0.029
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.314,0.002,461.044,463.636,True,True,False,0.207,0.283,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.395,0.003,432.657,436.431,True,True,False,0.364,0.34,0,1.0,1.0,0.745,,,,
Maize-Cluster_1_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.414,0.002,460.806,465.99,False,True,False,0.326,0.197,0,1.0,,,1.0,1.0,0.93,0.073
Maize-Cluster_1_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.594,0.001,426.284,432.575,False,True,False,0.536,0.234,0,1.0,1.0,0.415,1.0,1.0,0.983,0.012
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.392,0.004,324.214,326.103,True,True,False,0.251,0.265,0,1.0,,,,,,
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.378,0.009,298.406,301.078,True,True,False,0.261,-0.039,0,1.0,1.0,0.643,,,,
Maize-Cluster_1_yearly_True_window_9_lags_none_sinusoidal_yes_linear,True,9,linear_lags_none_sinusoidal_yes,0.436,0.006,326.801,330.579,True,True,False,0.335,0.08,0,1.0,,,1.0,1.0,0.979,0.305
Maize-Cluster_1_yearly_True_window_9_lags_1_sinusoidal_yes_linear,True,9,linear_lags_1_sinusoidal_yes,0.595,0.002,294.663,299.115,True,True,False,0.691,0.203,0,1.0,1.0,0.421,1.0,1.0,0.61,0.029
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_no_linear,False,10,linear_lags_none_sinusoidal_no,0.318,0.002,461.026,463.617,True,True,False,0.228,0.284,0,1.0,,,,,,
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_no_linear,False,10,linear_lags_1_sinusoidal_no,0.42,0.004,430.796,434.571,True,True,False,0.472,-0.048,0,1.0,1.0,0.375,,,,
Maize-Cluster_1_yearly_False_window_10_lags_none_sinusoidal_yes_linear,False,10,linear_lags_none_sinusoidal_yes,0.396,0.006,461.779,466.962,False,True,False,0.318,0.238,0,1.0,,,1.0,1.0,0.831,0.148
Maize-Cluster_1_yearly_False_window_10_lags_1_sinusoidal_yes_linear,False,10,linear_lags_1_sinusoidal_yes,0.528,0.021,429.431,435.721,False,True,False,0.515,-0.031,0,1.0,1.0,0.836,1.0,1.0,0.572,0.161
