analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_1_lags_none_sinusoidal_no_spline,False,1,spline_lags_none_sinusoidal_no,0.14,0.105,1350.15,1361.32,False,True,True,1.967,0.02,0,1.0,1.0,1.0,1.0,0.09,0.944,0.923,"[np.float64(409.957), np.float64(665.785), np.float64(790.195001), np.float64(963.35), np.float64(1259.824995)]",,,,,,,,
Maize_yearly_False_window_1_lags_0_sinusoidal_no_spline,False,1,spline_lags_0_sinusoidal_no,0.145,0.087,1351.775,1365.18,False,True,True,1.989,-0.014,0,1.0,1.004,1.003,1.007,0.128,0.993,0.964,"[np.float64(409.957), np.float64(665.785), np.float64(790.195001), np.float64(963.35), np.float64(1259.824995)]",1.014,0.56,,,,,,
Maize_yearly_False_window_1_lags_1_sinusoidal_no_spline,False,1,spline_lags_1_sinusoidal_no,0.163,0.332,1329.777,1343.094,False,True,True,2.0,-0.194,0,1.0,1.01,1.048,1.032,0.058,0.802,0.351,"[np.float64(409.957), np.float64(664.496), np.float64(782.8445), np.float64(925.62542), np.float64(1259.824995)]",,,1.089,0.741,,,,
Maize_yearly_False_window_1_lags_none_sinusoidal_yes_spline,False,1,spline_lags_none_sinusoidal_yes,0.146,0.11,1353.685,1369.324,False,True,True,1.98,-0.071,0,1.0,1.056,1.009,1.024,0.095,0.985,0.997,"[np.float64(409.957), np.float64(665.785), np.float64(790.195001), np.float64(963.35), np.float64(1259.824995)]",,,,,1.049,1.04,0.546,0.832
Maize_yearly_False_window_1_lags_0_sinusoidal_yes_spline,False,1,spline_lags_0_sinusoidal_yes,0.182,0.08,1352.671,1370.544,False,True,True,2.036,-0.128,0,1.0,1.064,1.013,1.242,0.078,0.886,0.489,"[np.float64(409.957), np.float64(665.785), np.float64(790.195001), np.float64(963.35), np.float64(1259.824995)]",1.22,0.104,,,1.06,1.039,0.436,0.951
Maize_yearly_False_window_1_lags_1_sinusoidal_yes_spline,False,1,spline_lags_1_sinusoidal_yes,0.17,0.344,1333.149,1350.905,False,True,True,2.009,-0.273,0,1.0,1.079,1.054,1.038,0.052,0.837,0.33,"[np.float64(409.957), np.float64(664.496), np.float64(782.8445), np.float64(925.62542), np.float64(1259.824995)]",,,1.09,0.734,1.036,1.044,0.465,0.886
Maize_yearly_True_window_1_lags_none_sinusoidal_no_spline,True,1,spline_lags_none_sinusoidal_no,0.369,0.073,694.234,702.288,True,True,True,2.208,0.09,0,1.0,1.0,1.0,1.0,0.055,0.043,0.29,"[np.float64(464.8865), np.float64(642.8232), np.float64(764.220997), np.float64(870.097333), np.float64(1043.0)]",,,,,,,,
Maize_yearly_True_window_1_lags_0_sinusoidal_no_spline,True,1,spline_lags_0_sinusoidal_no,0.478,0.063,689.189,698.855,True,True,True,2.396,-1.216,0,1.0,1.047,1.002,1.066,0.013,0.022,0.624,"[np.float64(464.8865), np.float64(642.8232), np.float64(764.220997), np.float64(870.097333), np.float64(1043.0)]",1.114,0.016,,,,,,
Maize_yearly_True_window_1_lags_1_sinusoidal_no_spline,True,1,spline_lags_1_sinusoidal_no,0.465,0.013,669.579,679.08,True,True,True,2.411,0.364,0,1.0,1.047,1.033,1.005,0.018,0.148,0.93,"[np.float64(464.8865), np.float64(642.48665), np.float64(783.8295), np.float64(881.925833), np.float64(1043.0)]",,,1.084,0.167,,,,
Maize_yearly_True_window_1_lags_none_sinusoidal_yes_spline,True,1,spline_lags_none_sinusoidal_yes,0.392,0.07,696.861,708.137,True,True,True,2.321,-0.079,0,1.0,1.032,1.005,1.083,0.042,0.042,0.27,"[np.float64(464.8865), np.float64(642.8232), np.float64(764.220997), np.float64(870.097333), np.float64(1043.0)]",,,,,1.053,1.066,0.3,0.902
Maize_yearly_True_window_1_lags_0_sinusoidal_yes_spline,True,1,spline_lags_0_sinusoidal_yes,0.505,0.058,691.211,704.099,True,True,False,2.512,-1.396,0,1.0,1.081,1.006,1.128,0.009,0.022,0.499,"[np.float64(464.8865), np.float64(642.8232), np.float64(764.220997), np.float64(870.097333), np.float64(1043.0)]",1.116,0.017,,,1.054,1.045,0.227,0.766
Maize_yearly_True_window_1_lags_1_sinusoidal_yes_spline,True,1,spline_lags_1_sinusoidal_yes,0.498,0.01,671.33,683.998,True,True,False,2.566,0.137,0,1.0,1.078,1.035,1.013,0.013,0.162,0.863,"[np.float64(464.8865), np.float64(642.48665), np.float64(783.8295), np.float64(881.925833), np.float64(1043.0)]",,,1.086,0.146,1.038,1.002,0.208,0.707
Maize_yearly_False_window_2_lags_none_sinusoidal_no_spline,False,2,spline_lags_none_sinusoidal_no,0.176,0.018,1302.825,1313.995,True,True,False,1.024,-0.213,0,1.0,1.0,1.0,1.0,0.402,0.527,0.784,"[np.float64(464.8865), np.float64(715.2075), np.float64(819.103), np.float64(905.505002), np.float64(1184.5624975)]",,,,,,,,
Maize_yearly_False_window_2_lags_0_sinusoidal_no_spline,False,2,spline_lags_0_sinusoidal_no,0.229,0.009,1300.247,1313.651,False,True,False,1.094,-0.31,0,1.0,1.002,1.003,1.039,0.377,0.672,0.497,"[np.float64(464.8865), np.float64(715.2075), np.float64(819.103), np.float64(905.505002), np.float64(1184.5624975)]",1.044,0.042,,,,,,
Maize_yearly_False_window_2_lags_1_sinusoidal_no_spline,False,2,spline_lags_1_sinusoidal_no,0.221,0.017,1278.293,1291.61,True,True,False,1.148,-0.276,0,1.0,1.003,1.041,1.003,0.284,0.675,0.105,"[np.float64(464.8865), np.float64(747.87077), np.float64(819.184), np.float64(905.665253), np.float64(1184.5624975)]",,,1.048,0.798,,,,
Maize_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.185,0.017,1306.104,1321.742,True,True,False,1.03,-0.319,0,1.0,1.019,1.012,1.018,0.437,0.597,0.869,"[np.float64(464.8865), np.float64(715.2075), np.float64(819.103), np.float64(905.505002), np.float64(1184.5624975)]",,,,,1.013,1.037,0.515,0.635
Maize_yearly_False_window_2_lags_0_sinusoidal_yes_spline,False,2,spline_lags_0_sinusoidal_yes,0.239,0.013,1303.355,1321.228,True,True,False,1.078,-0.896,0,1.0,1.028,1.015,1.055,0.335,0.679,0.581,"[np.float64(464.8865), np.float64(715.2075), np.float64(819.103), np.float64(905.505002), np.float64(1184.5624975)]",1.039,0.036,,,1.013,1.046,0.526,0.925
Maize_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.223,0.018,1282.135,1299.891,True,True,False,1.15,-0.27,0,1.0,1.029,1.055,1.038,0.293,0.707,0.132,"[np.float64(464.8865), np.float64(747.87077), np.float64(819.184), np.float64(905.665253), np.float64(1184.5624975)]",,,1.049,0.79,1.034,1.039,0.71,1.0
Maize_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.486,0.0,671.648,679.703,True,True,False,1.396,0.23,0,1.0,1.0,1.0,1.0,0.564,0.925,0.104,"[np.float64(512.6990000000001), np.float64(683.081233), np.float64(762.360666), np.float64(837.002923), np.float64(970.80165)]",,,,,,,,
Maize_yearly_True_window_2_lags_0_sinusoidal_no_spline,True,2,spline_lags_0_sinusoidal_no,0.638,0.0,660.644,670.309,True,True,True,1.683,-0.003,0,1.0,1.007,1.009,1.001,0.336,0.852,0.072,"[np.float64(512.6990000000001), np.float64(683.081233), np.float64(762.360666), np.float64(837.002923), np.float64(970.80165)]",1.017,0.001,,,,,,
Maize_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.608,0.0,641.557,651.059,True,True,False,1.391,-0.314,0,1.0,1.045,1.13,1.002,0.061,0.992,0.941,"[np.float64(512.6990000000001), np.float64(672.61905), np.float64(773.862915), np.float64(846.457333), np.float64(970.80165)]",,,1.177,0.075,,,,
Maize_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.507,0.0,674.1,685.376,True,True,False,1.47,0.221,0,1.0,1.071,1.049,1.058,0.614,0.992,0.148,"[np.float64(512.6990000000001), np.float64(683.081233), np.float64(762.360666), np.float64(837.002923), np.float64(970.80165)]",,,,,1.011,1.166,0.268,0.928
Maize_yearly_True_window_2_lags_0_sinusoidal_yes_spline,True,2,spline_lags_0_sinusoidal_yes,0.654,0.0,663.008,675.896,True,True,True,1.791,0.39,0,1.0,1.074,1.053,1.058,0.442,0.872,0.088,"[np.float64(512.6990000000001), np.float64(683.081233), np.float64(762.360666), np.float64(837.002923), np.float64(970.80165)]",1.019,0.001,,,1.012,1.154,0.287,0.728
Maize_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.642,0.0,642.241,654.909,True,True,True,1.515,-0.678,0,1.0,1.07,1.231,1.022,0.095,0.831,0.923,"[np.float64(512.6990000000001), np.float64(672.61905), np.float64(773.862915), np.float64(846.457333), np.float64(970.80165)]",,,1.183,0.055,1.025,1.116,0.19,0.345
Maize_yearly_False_window_3_lags_none_sinusoidal_no_spline,False,3,spline_lags_none_sinusoidal_no,0.277,0.0,1269.83,1281.0,False,True,False,0.88,0.052,0,1.0,1.0,1.0,1.0,0.082,0.582,0.626,"[np.float64(539.6333331333334), np.float64(705.04317), np.float64(824.33644), np.float64(891.024664), np.float64(1040.7584650000001)]",,,,,,,,
Maize_yearly_False_window_3_lags_0_sinusoidal_no_spline,False,3,spline_lags_0_sinusoidal_no,0.302,0.0,1269.428,1282.832,False,True,False,0.992,0.102,0,1.0,1.0,1.062,1.178,0.078,0.8,0.901,"[np.float64(539.6333331333334), np.float64(705.04317), np.float64(824.33644), np.float64(891.024664), np.float64(1040.7584650000001)]",1.239,0.14,,,,,,
Maize_yearly_False_window_3_lags_1_sinusoidal_no_spline,False,3,spline_lags_1_sinusoidal_no,0.29,0.002,1251.539,1264.856,False,True,False,0.927,0.133,0,1.0,1.009,1.005,1.027,0.082,0.307,0.772,"[np.float64(539.6333331333334), np.float64(704.862744), np.float64(799.413983), np.float64(861.796134), np.float64(1040.7584650000001)]",,,1.041,0.884,,,,
Maize_yearly_False_window_3_lags_none_sinusoidal_yes_spline,False,3,spline_lags_none_sinusoidal_yes,0.289,0.0,1272.682,1288.321,False,True,False,0.891,-0.021,0,1.0,1.003,1.012,1.001,0.093,0.661,0.648,"[np.float64(539.6333331333334), np.float64(705.04317), np.float64(824.33644), np.float64(891.024664), np.float64(1040.7584650000001)]",,,,,1.007,1.009,0.433,0.518
Maize_yearly_False_window_3_lags_0_sinusoidal_yes_spline,False,3,spline_lags_0_sinusoidal_yes,0.303,0.0,1273.335,1291.208,False,True,False,0.956,-0.015,0,1.0,1.004,1.045,1.164,0.085,0.787,0.988,"[np.float64(539.6333331333334), np.float64(705.04317), np.float64(824.33644), np.float64(891.024664), np.float64(1040.7584650000001)]",1.2,0.238,,,1.006,1.007,0.442,0.618
Maize_yearly_False_window_3_lags_1_sinusoidal_yes_spline,False,3,spline_lags_1_sinusoidal_yes,0.297,0.002,1254.824,1272.58,False,True,False,0.937,0.052,0,1.0,1.009,1.015,1.097,0.09,0.355,0.821,"[np.float64(539.6333331333334), np.float64(704.862744), np.float64(799.413983), np.float64(861.796134), np.float64(1040.7584650000001)]",,,1.042,0.869,1.004,1.075,0.454,0.804
Maize_yearly_True_window_3_lags_none_sinusoidal_no_spline,True,3,spline_lags_none_sinusoidal_no,0.627,0.0,646.058,654.113,True,True,False,0.823,0.5,0,1.0,1.0,1.0,1.0,0.476,0.76,0.473,"[np.float64(539.6333331333334), np.float64(702.767333), np.float64(776.035998), np.float64(828.835382), np.float64(952.1441000333334)]",,,,,,,,
Maize_yearly_True_window_3_lags_0_sinusoidal_no_spline,True,3,spline_lags_0_sinusoidal_no,0.697,0.0,640.333,649.998,True,True,False,1.241,0.622,0,1.0,1.09,1.023,1.206,0.136,0.954,0.077,"[np.float64(539.6333331333334), np.float64(702.767333), np.float64(776.035998), np.float64(828.835382), np.float64(952.1441000333334)]",1.319,0.012,,,,,,
Maize_yearly_True_window_3_lags_1_sinusoidal_no_spline,True,3,spline_lags_1_sinusoidal_no,0.699,0.0,622.64,632.141,True,True,False,0.792,0.518,0,1.0,1.008,1.038,1.001,0.172,0.798,0.898,"[np.float64(539.6333331333334), np.float64(699.956983), np.float64(776.458604), np.float64(841.809711), np.float64(952.1441000333334)]",,,1.047,0.346,,,,
Maize_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.653,0.0,647.333,658.609,True,True,False,0.859,0.481,0,1.0,1.124,1.041,1.091,0.589,0.883,0.803,"[np.float64(539.6333331333334), np.float64(702.767333), np.float64(776.035998), np.float64(828.835382), np.float64(952.1441000333334)]",,,,,1.118,1.138,0.156,0.695
Maize_yearly_True_window_3_lags_0_sinusoidal_yes_spline,True,3,spline_lags_0_sinusoidal_yes,0.715,0.0,642.095,654.982,True,True,False,1.3,0.588,0,1.0,1.18,1.052,1.376,0.264,0.925,0.173,"[np.float64(539.6333331333334), np.float64(702.767333), np.float64(776.035998), np.float64(828.835382), np.float64(952.1441000333334)]",1.357,0.023,,,1.124,1.127,0.213,0.71
Maize_yearly_True_window_3_lags_1_sinusoidal_yes_spline,True,3,spline_lags_1_sinusoidal_yes,0.728,0.0,622.98,635.648,True,True,False,0.856,0.407,0,1.0,1.089,1.103,1.009,0.337,0.778,0.78,"[np.float64(539.6333331333334), np.float64(699.956983), np.float64(776.458604), np.float64(841.809711), np.float64(952.1441000333334)]",,,1.048,0.287,1.045,1.107,0.1,0.706
Maize_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.422,0.0,1238.919,1250.089,False,True,False,0.834,0.346,0,1.0,1.0,1.0,1.0,0.032,0.742,0.069,"[np.float64(604.7547503000001), np.float64(734.90915), np.float64(805.5661), np.float64(877.313249), np.float64(1009.63615005)]",,,,,,,,
Maize_yearly_False_window_4_lags_0_sinusoidal_no_spline,False,4,spline_lags_0_sinusoidal_no,0.435,0.0,1239.355,1252.759,False,True,False,0.908,0.236,0,1.0,1.006,1.0,1.009,0.025,0.765,0.054,"[np.float64(604.7547503000001), np.float64(734.90915), np.float64(805.5661), np.float64(877.313249), np.float64(1009.63615005)]",1.015,0.234,,,,,,
Maize_yearly_False_window_4_lags_1_sinusoidal_no_spline,False,4,spline_lags_1_sinusoidal_no,0.429,0.0,1220.263,1233.58,False,True,False,0.791,0.03,0,1.0,1.002,1.001,1.0,0.015,0.548,0.758,"[np.float64(604.7547503000001), np.float64(740.1705), np.float64(809.40955), np.float64(887.509753), np.float64(1009.63615005)]",,,1.003,0.689,,,,
Maize_yearly_False_window_4_lags_none_sinusoidal_yes_spline,False,4,spline_lags_none_sinusoidal_yes,0.444,0.0,1240.231,1255.87,False,True,False,0.855,0.338,0,1.0,1.022,1.003,1.029,0.021,0.818,0.121,"[np.float64(604.7547503000001), np.float64(734.90915), np.float64(805.5661), np.float64(877.313249), np.float64(1009.63615005)]",,,,,1.038,1.016,0.144,0.591
Maize_yearly_False_window_4_lags_0_sinusoidal_yes_spline,False,4,spline_lags_0_sinusoidal_yes,0.452,0.0,1241.202,1259.075,False,True,False,0.913,0.155,0,1.0,1.024,1.003,1.043,0.019,0.818,0.099,"[np.float64(604.7547503000001), np.float64(734.90915), np.float64(805.5661), np.float64(877.313249), np.float64(1009.63615005)]",1.015,0.24,,,1.04,1.015,0.179,0.755
Maize_yearly_False_window_4_lags_1_sinusoidal_yes_spline,False,4,spline_lags_1_sinusoidal_yes,0.452,0.0,1221.514,1239.27,False,True,False,0.834,0.178,0,1.0,1.022,1.006,1.013,0.011,0.597,0.895,"[np.float64(604.7547503000001), np.float64(740.1705), np.float64(809.40955), np.float64(887.509753), np.float64(1009.63615005)]",,,1.003,0.699,1.023,1.015,0.124,0.841
Maize_yearly_True_window_4_lags_none_sinusoidal_no_spline,True,4,spline_lags_none_sinusoidal_no,0.656,0.0,636.719,644.774,True,True,False,1.136,0.304,0,1.0,1.0,1.0,1.0,0.617,0.693,0.022,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",,,,,,,,
Maize_yearly_True_window_4_lags_0_sinusoidal_no_spline,True,4,spline_lags_0_sinusoidal_no,0.693,0.0,634.468,644.134,True,True,False,1.046,-0.165,0,1.0,1.034,1.001,1.012,0.387,0.686,0.029,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",1.047,0.061,,,,,,
Maize_yearly_True_window_4_lags_1_sinusoidal_no_spline,True,4,spline_lags_1_sinusoidal_no,0.721,0.0,613.118,622.619,True,True,False,0.854,0.541,0,1.0,1.0,1.011,1.052,0.166,0.536,0.491,"[np.float64(597.3186166666667), np.float64(715.217018), np.float64(774.983356), np.float64(844.862486), np.float64(929.6609916916667)]",,,1.064,0.366,,,,
Maize_yearly_True_window_4_lags_none_sinusoidal_yes_spline,True,4,spline_lags_none_sinusoidal_yes,0.683,0.0,637.696,648.973,True,True,False,1.192,0.013,0,1.0,1.198,1.034,1.097,0.745,0.99,0.046,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",,,,,1.078,1.251,0.139,0.698
Maize_yearly_True_window_4_lags_0_sinusoidal_yes_spline,True,4,spline_lags_0_sinusoidal_yes,0.723,0.0,634.67,647.557,True,True,False,1.133,-0.528,0,1.0,1.208,1.034,1.101,0.593,0.964,0.048,"[np.float64(597.3186166666667), np.float64(718.693727), np.float64(774.794854), np.float64(841.091002), np.float64(929.6609916916667)]",1.058,0.064,,,1.074,1.21,0.137,0.431
Maize_yearly_True_window_4_lags_1_sinusoidal_yes_spline,True,4,spline_lags_1_sinusoidal_yes,0.755,0.0,612.372,625.041,True,True,False,0.911,0.63,0,1.0,1.132,1.046,1.096,0.31,0.873,0.728,"[np.float64(597.3186166666667), np.float64(715.217018), np.float64(774.983356), np.float64(844.862486), np.float64(929.6609916916667)]",,,1.068,0.295,1.063,1.143,0.081,0.396
Maize_yearly_False_window_5_lags_none_sinusoidal_no_spline,False,5,spline_lags_none_sinusoidal_no,0.499,0.0,1215.023,1226.193,True,True,False,0.603,0.436,0,1.0,1.0,1.0,1.0,0.071,0.358,0.492,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",,,,,,,,
Maize_yearly_False_window_5_lags_0_sinusoidal_no_spline,False,5,spline_lags_0_sinusoidal_no,0.523,0.0,1213.64,1227.045,True,True,False,0.667,0.362,0,1.0,1.02,1.003,1.003,0.04,0.4,0.547,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",1.025,0.08,,,,,,
Maize_yearly_False_window_5_lags_1_sinusoidal_no_spline,False,5,spline_lags_1_sinusoidal_no,0.544,0.0,1191.466,1204.783,True,True,False,0.701,0.434,0,1.0,1.01,1.025,1.004,0.023,0.35,0.93,"[np.float64(637.61408), np.float64(720.405399), np.float64(802.60514), np.float64(883.30299), np.float64(977.11692004)]",,,1.039,0.431,,,,
Maize_yearly_False_window_5_lags_none_sinusoidal_yes_spline,False,5,spline_lags_none_sinusoidal_yes,0.542,0.0,1212.763,1228.402,True,True,False,0.649,0.454,0,1.0,1.029,1.016,1.002,0.039,0.218,0.542,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",,,,,1.024,1.024,0.024,0.475
Maize_yearly_False_window_5_lags_0_sinusoidal_yes_spline,False,5,spline_lags_0_sinusoidal_yes,0.563,0.0,1211.535,1229.408,True,True,False,0.705,0.217,0,1.0,1.041,1.019,1.005,0.025,0.236,0.602,"[np.float64(637.61408), np.float64(720.569399), np.float64(804.86936), np.float64(883.2586), np.float64(977.11692004)]",1.026,0.069,,,1.024,1.016,0.022,0.733
Maize_yearly_False_window_5_lags_1_sinusoidal_yes_spline,False,5,spline_lags_1_sinusoidal_yes,0.58,0.0,1189.916,1207.672,True,True,False,0.746,0.291,0,1.0,1.032,1.039,1.01,0.014,0.216,0.978,"[np.float64(637.61408), np.float64(720.405399), np.float64(802.60514), np.float64(883.30299), np.float64(977.11692004)]",,,1.039,0.432,1.022,1.02,0.029,0.756
Maize_yearly_True_window_5_lags_none_sinusoidal_no_spline,True,5,spline_lags_none_sinusoidal_no,0.711,0.0,624.604,632.658,True,True,False,0.851,0.545,0,1.0,1.0,1.0,1.0,0.129,0.27,0.003,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",,,,,,,,
Maize_yearly_True_window_5_lags_0_sinusoidal_no_spline,True,5,spline_lags_0_sinusoidal_no,0.711,0.0,626.601,636.266,True,True,False,0.847,0.529,0,1.0,1.137,1.108,1.083,0.155,0.293,0.005,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",1.328,0.961,,,,,,
Maize_yearly_True_window_5_lags_1_sinusoidal_no_spline,True,5,spline_lags_1_sinusoidal_no,0.771,0.0,600.751,610.252,True,True,False,0.867,0.475,0,1.0,1.004,1.0,1.086,0.029,0.052,0.509,"[np.float64(622.7538533333333), np.float64(718.793461), np.float64(769.762163), np.float64(842.744931), np.float64(910.9888466866666)]",,,1.09,0.909,,,,
Maize_yearly_True_window_5_lags_none_sinusoidal_yes_spline,True,5,spline_lags_none_sinusoidal_yes,0.736,0.0,625.307,636.584,True,True,False,0.855,0.474,0,1.0,1.316,1.128,1.024,0.079,0.68,0.004,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",,,,,1.129,1.338,0.281,0.22
Maize_yearly_True_window_5_lags_0_sinusoidal_yes_spline,True,5,spline_lags_0_sinusoidal_yes,0.736,0.0,627.307,640.194,True,True,False,0.857,0.437,0,1.0,1.508,1.261,1.095,0.107,0.704,0.006,"[np.float64(622.7538533333333), np.float64(719.465425), np.float64(775.395573), np.float64(841.091002), np.float64(910.9888466866666)]",1.365,0.955,,,1.152,1.347,0.295,0.23
