analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_1_lags_none_sinusoidal_no_quadratic,False,1,quadratic_lags_none_sinusoidal_no,0.092,0.024,1071.66,1077.943,True,True,True,2.309,0.027,0,1.793,1.793,0.409,,,,,,,,
Soybean_yearly_False_window_1_lags_1_sinusoidal_no_quadratic,False,1,quadratic_lags_1_sinusoidal_no,0.127,0.318,1052.424,1060.734,True,True,True,2.311,-0.04,0,1.831,1.848,0.359,1.016,0.206,,,,,,
Soybean_yearly_False_window_1_lags_7_sinusoidal_no_quadratic,False,1,quadratic_lags_7_sinusoidal_no,0.124,0.966,945.328,953.209,True,True,True,2.3,-0.038,0,1.801,1.801,0.392,,,1.001,0.075,,,,
Soybean_yearly_False_window_1_lags_none_sinusoidal_yes_quadratic,False,1,quadratic_lags_none_sinusoidal_yes,0.093,0.028,1075.577,1086.049,True,True,True,2.313,-0.046,0,1.803,1.816,0.415,,,,,1.0,1.012,0.785,0.991
Soybean_yearly_False_window_1_lags_1_sinusoidal_yes_quadratic,False,1,quadratic_lags_1_sinusoidal_yes,0.13,0.333,1056.259,1068.724,True,True,True,2.318,-0.148,0,1.838,1.862,0.372,1.016,0.213,,,1.001,1.007,0.738,0.855
Soybean_yearly_False_window_1_lags_7_sinusoidal_yes_quadratic,False,1,quadratic_lags_7_sinusoidal_yes,0.127,0.986,949.121,960.943,True,True,True,2.309,-0.112,0,1.815,1.834,0.408,,,1.001,0.085,1.009,1.009,0.779,0.751
Soybean_yearly_True_window_1_lags_none_sinusoidal_no_quadratic,True,1,quadratic_lags_none_sinusoidal_no,0.187,0.009,635.816,640.648,True,True,True,1.948,0.097,0,1.78,1.78,0.803,,,,,,,,
Soybean_yearly_True_window_1_lags_1_sinusoidal_no_quadratic,True,1,quadratic_lags_1_sinusoidal_no,0.223,0.014,616.296,622.63,True,True,True,1.952,-0.179,0,1.822,1.822,0.577,1.0,0.78,,,,,,
Soybean_yearly_True_window_1_lags_7_sinusoidal_no_quadratic,True,1,quadratic_lags_7_sinusoidal_no,0.195,0.169,514.318,519.922,True,True,True,1.965,0.005,0,2.073,2.081,0.824,,,1.008,0.343,,,,
Soybean_yearly_True_window_1_lags_none_sinusoidal_yes_quadratic,True,1,quadratic_lags_none_sinusoidal_yes,0.212,0.01,638.679,646.733,True,True,True,2.023,0.034,0,1.815,1.859,0.937,,,,,1.019,1.026,0.332,0.852
Soybean_yearly_True_window_1_lags_1_sinusoidal_yes_quadratic,True,1,quadratic_lags_1_sinusoidal_yes,0.264,0.013,618.342,627.843,True,True,True,2.029,-0.412,0,1.851,1.887,0.768,1.0,0.733,,,1.019,1.017,0.304,0.44
Soybean_yearly_True_window_1_lags_7_sinusoidal_yes_quadratic,True,1,quadratic_lags_7_sinusoidal_yes,0.245,0.128,516.396,524.803,True,True,True,2.145,-0.021,0,2.166,2.262,0.63,,,1.009,0.429,1.003,1.084,0.485,0.308
Soybean_yearly_False_window_2_lags_none_sinusoidal_no_quadratic,False,2,quadratic_lags_none_sinusoidal_no,0.088,0.023,1022.166,1028.449,True,True,False,1.154,0.012,0,1.891,1.891,0.677,,,,,,,,
Soybean_yearly_False_window_2_lags_1_sinusoidal_no_quadratic,False,2,quadratic_lags_1_sinusoidal_no,0.113,0.049,1001.836,1010.146,True,True,False,1.19,-0.06,0,1.922,1.922,0.381,1.0,0.52,,,,,,
Soybean_yearly_False_window_2_lags_7_sinusoidal_no_quadratic,False,2,quadratic_lags_7_sinusoidal_no,0.133,0.867,899.207,907.088,False,True,False,1.214,-0.042,0,2.18,2.228,0.697,,,1.048,0.096,,,,
Soybean_yearly_False_window_2_lags_none_sinusoidal_yes_quadratic,False,2,quadratic_lags_none_sinusoidal_yes,0.089,0.027,1026.053,1036.524,True,True,False,1.158,-0.067,0,1.908,1.928,0.656,,,,,1.01,1.009,0.766,0.901
Soybean_yearly_False_window_2_lags_1_sinusoidal_yes_quadratic,False,2,quadratic_lags_1_sinusoidal_yes,0.12,0.049,1005.337,1017.803,False,True,False,1.195,-0.14,0,1.937,1.953,0.393,1.0,0.538,,,1.011,1.005,0.746,0.564
Soybean_yearly_False_window_2_lags_7_sinusoidal_yes_quadratic,False,2,quadratic_lags_7_sinusoidal_yes,0.14,0.794,902.797,914.619,False,True,False,1.216,-0.192,0,2.204,2.273,0.716,,,1.049,0.124,1.014,1.006,0.849,0.571
Soybean_yearly_True_window_2_lags_none_sinusoidal_no_quadratic,True,2,quadratic_lags_none_sinusoidal_no,0.252,0.002,612.616,617.448,True,True,False,0.946,0.146,0,1.761,1.761,0.812,,,,,,,,
Soybean_yearly_True_window_2_lags_1_sinusoidal_no_quadratic,True,2,quadratic_lags_1_sinusoidal_no,0.319,0.003,589.596,595.93,True,True,False,1.105,-0.014,0,1.84,1.876,0.593,1.036,0.721,,,,,,
Soybean_yearly_True_window_2_lags_7_sinusoidal_no_quadratic,True,2,quadratic_lags_7_sinusoidal_no,0.273,0.016,491.04,496.644,True,True,False,1.072,-0.005,0,2.011,2.011,0.456,,,1.0,0.907,,,,
Soybean_yearly_True_window_2_lags_none_sinusoidal_yes_quadratic,True,2,quadratic_lags_none_sinusoidal_yes,0.283,0.002,615.064,623.119,True,True,False,1.006,0.119,0,1.797,1.845,0.749,,,,,1.005,1.042,0.25,0.994
Soybean_yearly_True_window_2_lags_1_sinusoidal_yes_quadratic,True,2,quadratic_lags_1_sinusoidal_yes,0.38,0.002,590.261,599.762,True,True,False,1.185,-0.124,0,1.871,1.946,0.843,1.037,0.73,,,1.006,1.032,0.242,0.225
Soybean_yearly_True_window_2_lags_7_sinusoidal_yes_quadratic,True,2,quadratic_lags_7_sinusoidal_yes,0.384,0.005,490.037,498.444,True,True,False,1.283,-0.363,0,2.107,2.202,0.235,,,1.0,0.871,1.035,1.06,0.588,0.058
Soybean_yearly_False_window_3_lags_none_sinusoidal_no_quadratic,False,3,quadratic_lags_none_sinusoidal_no,0.155,0.002,995.487,1001.77,True,True,False,1.432,0.011,0,1.98,1.98,0.737,,,,,,,,
Soybean_yearly_False_window_3_lags_1_sinusoidal_no_quadratic,False,3,quadratic_lags_1_sinusoidal_no,0.162,0.003,981.452,989.762,True,True,False,1.438,0.02,0,2.046,2.056,0.653,1.011,0.884,,,,,,
Soybean_yearly_False_window_3_lags_7_sinusoidal_no_quadratic,False,3,quadratic_lags_7_sinusoidal_no,0.19,0.677,878.212,886.093,True,True,False,1.47,0.11,0,2.136,2.18,0.314,,,1.043,0.072,,,,
Soybean_yearly_False_window_3_lags_none_sinusoidal_yes_quadratic,False,3,quadratic_lags_none_sinusoidal_yes,0.197,0.001,996.426,1006.897,True,True,True,1.508,-0.035,0,2.045,2.111,0.801,,,,,1.049,1.018,0.586,0.118
Soybean_yearly_False_window_3_lags_1_sinusoidal_yes_quadratic,False,3,quadratic_lags_1_sinusoidal_yes,0.217,0.002,981.403,993.868,True,True,True,1.537,-0.026,0,2.107,2.176,0.673,1.011,0.838,,,1.05,1.008,0.57,0.072
Soybean_yearly_False_window_3_lags_7_sinusoidal_yes_quadratic,False,3,quadratic_lags_7_sinusoidal_yes,0.24,0.409,878.829,890.65,True,True,True,1.6,0.083,0,2.208,2.317,0.476,,,1.046,0.157,1.051,1.012,0.898,0.085
Soybean_yearly_True_window_3_lags_none_sinusoidal_no_quadratic,True,3,quadratic_lags_none_sinusoidal_no,0.31,0.0,590.137,594.97,True,True,False,0.552,0.151,0,1.87,1.87,0.5,,,,,,,,
Soybean_yearly_True_window_3_lags_1_sinusoidal_no_quadratic,True,3,quadratic_lags_1_sinusoidal_no,0.355,0.001,573.796,580.13,True,True,False,0.628,-0.021,0,1.986,2.029,0.614,1.043,0.605,,,,,,
Soybean_yearly_True_window_3_lags_7_sinusoidal_no_quadratic,True,3,quadratic_lags_7_sinusoidal_no,0.294,0.016,479.143,484.747,True,True,False,0.583,-0.09,0,1.905,1.907,0.331,,,1.002,0.892,,,,
Soybean_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.394,0.0,589.341,597.395,True,True,False,0.638,0.219,0,1.888,1.909,0.374,,,,,1.003,1.018,0.051,0.571
Soybean_yearly_True_window_3_lags_1_sinusoidal_yes_quadratic,True,3,quadratic_lags_1_sinusoidal_yes,0.456,0.0,571.673,581.174,True,False,False,0.731,-0.03,0,1.994,2.044,0.455,1.043,0.604,,,1.004,1.004,0.051,0.238
Soybean_yearly_True_window_3_lags_7_sinusoidal_yes_quadratic,True,3,quadratic_lags_7_sinusoidal_yes,0.442,0.002,476.045,484.453,True,False,False,0.744,-0.273,0,1.923,1.944,0.21,,,1.002,0.796,1.01,1.009,0.232,0.035
Soybean_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.192,0.002,967.448,973.731,True,True,False,0.76,0.059,0,1.898,1.898,0.334,,,,,,,,
Soybean_yearly_False_window_4_lags_1_sinusoidal_no_quadratic,False,4,quadratic_lags_1_sinusoidal_no,0.206,0.002,952.73,961.04,True,True,False,0.736,-0.032,0,1.965,1.97,0.432,1.005,0.795,,,,,,
Soybean_yearly_False_window_4_lags_7_sinusoidal_no_quadratic,False,4,quadratic_lags_7_sinusoidal_no,0.213,0.447,851.502,859.383,True,True,False,0.829,0.068,0,2.034,2.073,0.856,,,1.039,0.14,,,,
Soybean_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.224,0.001,969.009,979.481,True,False,False,0.807,-0.103,0,1.98,2.072,0.221,,,,,1.068,1.024,0.693,0.146
Soybean_yearly_False_window_4_lags_1_sinusoidal_yes_quadratic,False,4,quadratic_lags_1_sinusoidal_yes,0.258,0.001,952.73,965.196,True,False,False,0.807,-0.101,0,2.039,2.123,0.29,1.006,0.827,,,1.065,1.013,0.652,0.064
Soybean_yearly_False_window_4_lags_7_sinusoidal_yes_quadratic,False,4,quadratic_lags_7_sinusoidal_yes,0.298,0.18,849.457,861.279,True,False,False,0.979,0.155,0,2.1,2.206,0.427,,,1.042,0.362,1.052,1.012,0.151,0.058
Soybean_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.286,0.002,582.089,586.922,False,True,False,0.502,0.229,0,1.994,1.994,0.269,,,,,,,,
Soybean_yearly_True_window_4_lags_1_sinusoidal_no_quadratic,True,4,quadratic_lags_1_sinusoidal_no,0.355,0.001,563.393,569.727,True,True,False,0.577,0.089,0,2.118,2.118,0.427,1.0,0.892,,,,,,
Soybean_yearly_True_window_4_lags_7_sinusoidal_no_quadratic,True,4,quadratic_lags_7_sinusoidal_no,0.257,0.043,473.685,479.29,False,True,False,0.595,-0.209,0,1.957,1.958,0.2,,,1.001,0.972,,,,
Soybean_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.359,0.001,582.096,590.151,True,True,False,0.557,0.179,0,1.996,1.998,0.275,,,,,1.001,1.001,0.069,0.744
Soybean_yearly_True_window_4_lags_1_sinusoidal_yes_quadratic,True,4,quadratic_lags_1_sinusoidal_yes,0.449,0.0,561.765,571.266,True,False,False,0.65,0.033,0,2.123,2.127,0.463,1.0,0.922,,,1.0,1.004,0.072,0.213
Soybean_yearly_True_window_4_lags_7_sinusoidal_yes_quadratic,True,4,quadratic_lags_7_sinusoidal_yes,0.386,0.009,471.987,480.394,True,False,False,0.699,-0.297,0,2.004,2.055,0.311,,,1.001,0.657,1.039,1.01,0.41,0.046
Soybean_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.161,0.012,974.569,980.852,True,False,False,0.724,0.129,0,1.817,1.817,0.139,,,,,,,,
Soybean_yearly_False_window_5_lags_1_sinusoidal_no_quadratic,False,5,quadratic_lags_1_sinusoidal_no,0.168,0.01,958.073,966.383,True,True,False,0.751,0.021,0,1.829,1.83,0.201,1.0,0.745,,,,,,
Soybean_yearly_False_window_5_lags_7_sinusoidal_no_quadratic,False,5,quadratic_lags_7_sinusoidal_no,0.153,0.434,855.115,862.997,False,True,False,0.836,0.074,0,1.905,1.938,0.427,,,1.033,0.343,,,,
Soybean_yearly_False_window_5_lags_none_sinusoidal_yes_quadratic,False,5,quadratic_lags_none_sinusoidal_yes,0.179,0.01,977.269,987.741,True,False,False,0.765,0.067,0,1.898,1.996,0.095,,,,,1.083,1.016,0.495,0.381
Soybean_yearly_False_window_5_lags_1_sinusoidal_yes_quadratic,False,5,quadratic_lags_1_sinusoidal_yes,0.2,0.007,959.733,972.198,True,False,False,0.812,-0.062,0,1.909,2.005,0.121,1.0,0.712,,,1.083,1.013,0.413,0.22
Soybean_yearly_False_window_5_lags_7_sinusoidal_yes_quadratic,False,5,quadratic_lags_7_sinusoidal_yes,0.268,0.193,851.368,863.189,True,False,False,1.073,0.125,0,1.977,2.092,0.124,,,1.036,0.656,1.071,1.008,0.036,0.09
Soybean_yearly_True_window_5_lags_none_sinusoidal_no_quadratic,True,5,quadratic_lags_none_sinusoidal_no,0.291,0.002,577.084,581.917,False,True,False,0.248,0.202,0,2.212,2.212,0.28,,,,,,,,
Soybean_yearly_True_window_5_lags_1_sinusoidal_no_quadratic,True,5,quadratic_lags_1_sinusoidal_no,0.38,0.001,556.187,562.521,False,True,False,0.304,0.088,0,2.196,2.196,0.335,1.0,0.584,,,,,,
Soybean_yearly_True_window_5_lags_7_sinusoidal_no_quadratic,True,5,quadratic_lags_7_sinusoidal_no,0.243,0.083,466.286,471.891,False,True,False,0.337,-0.217,0,2.287,2.288,0.153,,,1.0,0.878,,,,
Soybean_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.377,0.001,576.318,584.372,True,True,False,0.269,0.201,0,2.25,2.282,0.39,,,,,1.014,1.018,0.044,0.991
Soybean_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.482,0.0,553.744,563.245,True,False,False,0.336,0.153,0,2.236,2.27,0.548,1.0,0.613,,,1.013,1.021,0.033,0.33
